product_option_sku,store,currency,value_net,value_gross
OP_1_year_waranty,AT,EUR,0,0
OP_2_year_waranty,AT,EUR,700,900
OP_3_year_waranty,AT,EUR,1700,1800
OP_insurance,AT,EUR,7000,9000
OP_1_year_waranty,AT,CHF,0,0
OP_2_year_waranty,AT,CHF,800,1100
OP_3_year_waranty,AT,CHF,1900,2200
OP_insurance,AT,CHF,8000,11000
OP_hrs_warranty_none,AT,EUR,0,0
OP_hrs_warranty_none,AT,CHF,0,0
OP_hrs_warranty_2y,AT,EUR,16723,19900
OP_hrs_warranty_2y,AT,CHF,16723,19900
OP_hrs_warranty_3y,AT,EUR,27647,32900
OP_hrs_warranty_3y,AT,CHF,27647,32900
OP_hrs_warranty_5y,AT,EUR,46134,54900
OP_hrs_warranty_5y,AT,CHF,46134,54900
OP_hrs_insurance_none,AT,EUR,0,0
OP_hrs_insurance_none,AT,CHF,0,0
OP_hrs_insurance_basic,AT,EUR,7479,8900
OP_hrs_insurance_basic,AT,CHF,7479,8900
OP_hrs_insurance_full,AT,EUR,18403,21900
OP_hrs_insurance_full,AT,CHF,18403,21900
