abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,from_included,to_included,value_cost
C2235,,DEFAULT,AT,EUR,4446,4940,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3458
C2235,,DEFAULT,AT,EUR,3510,3900,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2730
C2235,,DEFAULT,AT,EUR,1755,1950,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1365
M1000785,,DEFAULT,AT,CHF,5506,6118,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4283
M1000785,,DEFAULT,AT,CHF,4347,4830,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3381
M1000785,,DEFAULT,AT,CHF,2174,2415,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1690
M1000785,,DEFAULT,AT,EUR,4788,5320,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3724
M1000785,,DEFAULT,AT,EUR,3780,4200,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2940
M1000785,,DEFAULT,AT,EUR,1890,2100,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1470
M1000786,,DEFAULT,AT,CHF,5506,6118,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,4283
M1000786,,DEFAULT,AT,CHF,4347,4830,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3381
M1000786,,DEFAULT,AT,CHF,2174,2415,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1690
M1000786,,DEFAULT,AT,EUR,4788,5320,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,3724
M1000786,,DEFAULT,AT,EUR,3780,4200,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,2940
M1000786,,DEFAULT,AT,EUR,1890,2100,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,1470
M1000838,,DEFAULT,AT,CHF,27138,30153,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,21107
M1000838,,DEFAULT,AT,CHF,21425,23805,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,16664
M1000838,,DEFAULT,AT,CHF,10713,11903,2021-06-23T00:00:00-00:00,2037-12-31T23:59:59-00:00,8332
M1000838,,DEFAULT,AT,EUR,23598,26220,2021-01-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,18354
M1000838,,DEFAULT,AT,EUR,18630,20700,2021-05-01T00:00:00-00:00,2037-12-31T23:59:59-00:00,14490
