product_option_sku,store,currency,value_net,value_gross
OP_1_year_waranty,DE,EUR,0,0
OP_2_year_waranty,DE,EUR,800,1000
OP_3_year_waranty,DE,EUR,1800,2000
OP_insurance,DE,EUR,8000,10000
OP_1_year_waranty,DE,CHF,0,0
OP_2_year_waranty,DE,CHF,900,1200
OP_3_year_waranty,DE,CHF,2000,2300
OP_insurance,DE,CHF,9000,12000
OP_hrs_warranty_none,DE,EUR,0,0
OP_hrs_warranty_none,DE,CHF,0,0
OP_hrs_warranty_2y,DE,EUR,16723,19900
OP_hrs_warranty_2y,DE,CHF,16723,19900
OP_hrs_warranty_3y,DE,EUR,27647,32900
OP_hrs_warranty_3y,DE,CHF,27647,32900
OP_hrs_warranty_5y,DE,EUR,46134,54900
OP_hrs_warranty_5y,DE,CHF,46134,54900
OP_hrs_insurance_none,DE,EUR,0,0
OP_hrs_insurance_none,DE,CHF,0,0
OP_hrs_insurance_basic,DE,EUR,7479,8900
OP_hrs_insurance_basic,DE,CHF,7479,8900
OP_hrs_insurance_full,DE,EUR,18403,21900
OP_hrs_insurance_full,DE,CHF,18403,21900
