company_role_key,permission_key,configuration
Ottom_Admin,AddCompanyUserPermissionPlugin,
Ottom_Admin,ManageCompanyUserInvitationPermissionPlugin,
Ottom_Admin,CompanyUserStatusChangePermissionPlugin,
Ottom_Admin,SeeCompanyMenuPermissionPlugin,
Ottom_Buyer,AddCartItemPermissionPlugin,
Ottom_Buyer,ChangeCartItemPermissionPlugin,
Ottom_Buyer,RemoveCartItemPermissionPlugin,
Ottom_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
Ottom_Buyer,PlaceOrderPermissionPlugin,"{}"
Acme_Admin,AddCompanyUserPermissionPlugin,
Acme_Admin,ManageCompanyUserInvitationPermissionPlugin,
Acme_Admin,CompanyUserStatusChangePermissionPlugin,
Acme_Admin,SeeCompanyMenuPermissionPlugin,
Acme_Admin,SeeCompanyOrdersPermissionPlugin,
Acme_Buyer,AddCartItemPermissionPlugin,
Acme_Buyer,ChangeCartItemPermissionPlugin,
Acme_Buyer,RemoveCartItemPermissionPlugin,
Acme_Buyer,PlaceOrderWithAmountUpToPermissionPlugin,
Acme_Buyer,PlaceOrderPermissionPlugin,"{}"
Acme_Buyer,SeeBusinessUnitOrdersPermissionPlugin,
Ottom_Approver,ApproveQuotePermissionPlugin,"{""store_multi_currency"":{""DE"":{""EUR"":100000,""CHF"":110000}}}"
Acme_Approver,ApproveQuotePermissionPlugin,"{""store_multi_currency"":{""DE"":{""EUR"":100000,""CHF"":50000}}}"
Ottom_Buyer_With_Limit,AddCartItemPermissionPlugin,
Ottom_Buyer_With_Limit,ChangeCartItemPermissionPlugin,
Ottom_Buyer_With_Limit,RemoveCartItemPermissionPlugin,
Ottom_Buyer_With_Limit,PlaceOrderWithAmountUpToPermissionPlugin,
Ottom_Buyer_With_Limit,PlaceOrderPermissionPlugin,"{""store_multi_currency"":{""DE"":{""EUR"":70000,""CHF"":80000}}}"
Acme_Buyer_With_Limit,AddCartItemPermissionPlugin,
Acme_Buyer_With_Limit,ChangeCartItemPermissionPlugin,
Acme_Buyer_With_Limit,RemoveCartItemPermissionPlugin,
Acme_Buyer_With_Limit,PlaceOrderWithAmountUpToPermissionPlugin,
Acme_Buyer_With_Limit,PlaceOrderPermissionPlugin,"{""store_multi_currency"":{""DE"":{""EUR"":30000,""CHF"":20000}}}"
Ottom_Buyer_With_Limit,RequestQuoteApprovalPermissionPlugin,"{}"
Acme_Buyer_With_Limit,RequestQuoteApprovalPermissionPlugin,"{}"
Ottom_Admin,SeeCompanyUsersPermissionPlugin,
Acme_Admin,SeeCompanyUsersPermissionPlugin,
test-company_Admin,SeeCompanyUsersPermissionPlugin,
trial-company_Admin,SeeCompanyUsersPermissionPlugin,
proof-company_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Jim_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Kudamm_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Hotel-Mitte_Admin,SeeCompanyUsersPermissionPlugin,
BoB-Regular_Admin,SeeCompanyUsersPermissionPlugin,
test-company_Admin,SeeCompanyUsersPermissionPlugin,
test-company-2_Admin,SeeCompanyUsersPermissionPlugin,
restricted-company-1_Admin,SeeCompanyUsersPermissionPlugin,
restricted-company-2_Admin,SeeCompanyUsersPermissionPlugin,
Ottom_Admin,CreateMerchantRelationRequestPermissionPlugin,
Acme_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
trial-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
proof-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Jim_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Kudamm_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Hotel-Mitte_Admin,CreateMerchantRelationRequestPermissionPlugin,
BoB-Regular_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company_Admin,CreateMerchantRelationRequestPermissionPlugin,
test-company-2_Admin,CreateMerchantRelationRequestPermissionPlugin,
restricted-company-1_Admin,CreateMerchantRelationRequestPermissionPlugin,
restricted-company-2_Admin,CreateMerchantRelationRequestPermissionPlugin,
Acme_Admin,DeleteCompanyUsersPermissionPlugin,
test-company_Admin,DeleteCompanyUsersPermissionPlugin,
trial-company_Admin,DeleteCompanyUsersPermissionPlugin,
proof-company_Admin,DeleteCompanyUsersPermissionPlugin,
BoB-Hotel-Jim_Admin,DeleteCompanyUsersPermissionPlugin,
