product_offer_reference,shipment_type_key
offer425,in-center-service
offer426,in-center-service
offer427,in-center-service
offer428,in-center-service
offer429,in-center-service
offer430,in-center-service
offer431,in-center-service
offer432,in-center-service
offer433,in-center-service
offer434,in-center-service
offer435,in-center-service
offer436,in-center-service
offer437,in-center-service
offer438,in-center-service
offer439,in-center-service
offer440,in-center-service
POF00251,in-center-service
POF00254,in-center-service
POF00257,in-center-service
POF00260,in-center-service
POF00263,in-center-service
POF00266,in-center-service
POF00269,in-center-service
POF00272,in-center-service
POF00275,in-center-service
POF00278,in-center-service
