company_user_key,business_unit_key
Test--1,test-business-unit-1
BoB--1,business-unit-regular-1
Ottom--1,Ottom_HQ
Ottom--2,Sales_Department
Ottom--3,Supplier_Department
Ottom--4,Ottom_store_Berlin
Ottom--5,Ottom_store_Oslo
Ottom--6,Ottom_store_London
Ottom--7,Ottom_HQ
Ottom--8,Ottom_HQ
Acme--1,acme_corporation_HQ
Acme--2,acme_corporation_Barcelona
Acme--3,acme_corporation_Zurich
Acme--4,acme_corporation_Zurich_Sales
Acme--5,acme_corporation_Zurich_Support
Acme--6,acme_corporation_Berlin
Acme--7,acme_corporation_HR
Acme--8,acme_corporation_HR
Acme--9,acme_corporation_HQ
Acme--10,acme_corporation_HQ
Acme--11,acme_corporation_HQ
