company_role_key,company_user_key
Ottom_Admin,Ottom--1
Ottom_Buyer,Ottom--1
Ottom_Buyer,Ottom--2
Ottom_Buyer,Ottom--3
Ottom_Buyer,Ottom--4
Ottom_Buyer,Ottom--5
Ottom_Buyer,Ottom--6
Ottom_Approver,Ottom--7
Ottom_Buyer_With_Limit,Ottom--8
Acme_Admin,Acme--1
Acme_Buyer,Acme--2
Acme_Buyer,Acme--3
Acme_Buyer,Acme--4
Acme_Buyer,Acme--5
Acme_Buyer,Acme--6
Acme_Buyer,Acme--7
Acme_Buyer,Acme--8
Acme_Admin,Acme--8
Acme_Approver,Acme--9
Acme_Buyer_With_Limit,Acme--10
Acme_Buyer_With_Limit,Acme--11
Acme_Approver,Acme--11
Acme_SSP_Buyer,Acme--3
Acme_SSP_Admin,Acme--8
