product_offer_reference,store_name
offer1,AT
offer2,AT
offer3,AT
offer4,AT
offer6,AT
offer7,AT
offer8,AT
offer9,AT
offer10,AT
offer11,AT
offer12,AT
offer13,AT
offer14,AT
offer15,AT
offer16,AT
offer17,AT
offer18,AT
offer19,AT
offer20,AT
offer21,AT
offer22,AT
offer23,AT
offer24,AT
offer25,AT
offer26,AT
offer27,AT
offer28,AT
offer29,AT
offer30,AT
offer31,AT
offer32,AT
offer33,AT
offer34,AT
offer35,AT
offer36,AT
offer37,AT
offer38,AT
offer39,AT
offer40,AT
offer41,AT
offer42,AT
offer43,AT
offer44,AT
offer45,AT
offer46,AT
offer47,AT
offer48,AT
offer49,AT
offer50,AT
offer51,AT
offer52,AT
offer53,AT
offer54,AT
offer55,AT
offer56,AT
offer57,AT
offer58,AT
offer59,AT
offer60,AT
offer61,AT
offer62,AT
offer63,AT
offer64,AT
offer65,AT
offer66,AT
offer67,AT
offer68,AT
offer69,AT
offer70,AT
offer71,AT
offer72,AT
offer73,AT
offer74,AT
offer75,AT
offer76,AT
offer77,AT
offer78,AT
offer79,AT
offer80,AT
offer81,AT
offer82,AT
offer83,AT
offer84,AT
offer85,AT
offer86,AT
offer87,AT
offer88,AT
offer89,AT
offer90,AT
offer91,AT
offer92,AT
offer93,AT
offer94,AT
offer95,AT
offer96,AT
offer97,AT
offer98,AT
offer99,AT
offer100,AT
offer101,AT
offer102,AT
offer103,AT
offer104,AT
offer105,AT
offer106,AT
offer107,AT
offer108,AT
offer109,AT
offer110,AT
offer111,AT
offer112,AT
offer113,AT
offer114,AT
offer115,AT
offer116,AT
offer117,AT
offer118,AT
offer119,AT
offer120,AT
offer121,AT
offer122,AT
offer123,AT
offer124,AT
offer125,AT
offer126,AT
offer127,AT
offer128,AT
offer129,AT
offer130,AT
offer131,AT
offer132,AT
offer133,AT
offer134,AT
offer135,AT
offer136,AT
offer137,AT
offer138,AT
offer139,AT
offer140,AT
offer141,AT
offer142,AT
offer143,AT
offer144,AT
offer145,AT
offer146,AT
offer147,AT
offer148,AT
offer149,AT
offer150,AT
offer151,AT
offer152,AT
offer153,AT
offer154,AT
offer155,AT
offer156,AT
offer157,AT
offer158,AT
offer159,AT
offer160,AT
offer161,AT
offer162,AT
offer163,AT
offer164,AT
offer165,AT
offer166,AT
offer167,AT
offer168,AT
offer169,AT
offer170,AT
offer171,AT
offer172,AT
offer173,AT
offer174,AT
offer175,AT
offer176,AT
offer177,AT
offer178,AT
offer179,AT
offer180,AT
offer181,AT
offer182,AT
offer183,AT
offer184,AT
offer185,AT
offer186,AT
offer187,AT
offer188,AT
offer189,AT
offer190,AT
offer191,AT
offer192,AT
offer193,AT
offer194,AT
offer195,AT
offer196,AT
offer197,AT
offer198,AT
offer199,AT
offer200,AT
offer201,AT
offer202,AT
offer203,AT
offer204,AT
offer205,AT
offer206,AT
offer207,AT
offer208,AT
offer209,AT
offer210,AT
offer211,AT
offer212,AT
offer213,AT
offer214,AT
offer215,AT
offer216,AT
offer217,AT
offer218,AT
offer219,AT
offer220,AT
offer221,AT
offer222,AT
offer223,AT
offer224,AT
offer225,AT
offer226,AT
offer227,AT
offer228,AT
offer229,AT
offer230,AT
offer231,AT
offer232,AT
offer233,AT
offer234,AT
offer235,AT
offer236,AT
offer237,AT
offer238,AT
offer239,AT
offer240,AT
offer241,AT
offer242,AT
offer243,AT
offer244,AT
offer245,AT
offer246,AT
offer247,AT
offer248,AT
offer249,AT
offer250,AT
offer251,AT
offer252,AT
offer253,AT
offer254,AT
offer255,AT
offer256,AT
offer257,AT
offer258,AT
offer259,AT
offer260,AT
offer261,AT
offer262,AT
offer263,AT
offer264,AT
offer265,AT
offer266,AT
offer267,AT
offer268,AT
offer269,AT
offer270,AT
offer271,AT
offer272,AT
offer273,AT
offer274,AT
offer275,AT
offer276,AT
offer277,AT
offer278,AT
offer279,AT
offer280,AT
offer281,AT
offer282,AT
offer283,AT
offer284,AT
offer285,AT
offer286,AT
offer287,AT
offer288,AT
offer289,AT
offer290,AT
offer291,AT
offer292,AT
offer293,AT
offer294,AT
offer295,AT
offer296,AT
offer297,AT
offer298,AT
offer299,AT
offer300,AT
offer301,AT
offer302,AT
offer303,AT
offer304,AT
offer305,AT
offer306,AT
offer307,AT
offer308,AT
offer309,AT
offer310,AT
offer311,AT
offer312,AT
offer313,AT
offer314,AT
offer315,AT
offer316,AT
offer317,AT
offer318,AT
offer319,AT
offer320,AT
offer321,AT
offer322,AT
offer323,AT
offer324,AT
offer325,AT
offer326,AT
offer327,AT
offer328,AT
offer329,AT
offer330,AT
offer331,AT
offer332,AT
offer333,AT
offer334,AT
offer335,AT
offer336,AT
offer337,AT
offer338,AT
offer339,AT
offer340,AT
offer341,AT
offer342,AT
offer343,AT
offer344,AT
offer345,AT
