product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices,value_cost
offer2,ORIGINAL,AT,EUR,1090,1297,,908
offer2,DEFAULT,AT,EUR,890,1097,,768
offer2,ORIGINAL,AT,CHF,1242,1478,,1035
offer2,DEFAULT,AT,CHF,1042,1278,,895
offer3,DEFAULT,AT,EUR,170,203,,142
offer3,DEFAULT,AT,CHF,194,230,,161
offer4,DEFAULT,AT,EUR,161,192,,134
offer4,DEFAULT,AT,CHF,184,218,,153
offer5,DEFAULT,AT,EUR,170,203,,142
offer5,DEFAULT,AT,CHF,194,230,,161
offer6,DEFAULT,AT,EUR,161,192,,134
offer6,DEFAULT,AT,CHF,184,218,,153
offer7,DEFAULT,AT,EUR,648,772,,540
offer7,DEFAULT,AT,CHF,738,879,,615
offer8,DEFAULT,AT,EUR,614,741,,519
offer8,DEFAULT,AT,CHF,700,833,,583
offer9,DEFAULT,AT,EUR,380,456,,319
offer9,DEFAULT,AT,CHF,428,513,,359
offer10,DEFAULT,AT,EUR,360,432,,302
offer10,DEFAULT,AT,CHF,405,486,,340
offer11,DEFAULT,AT,CHF,360,410,,287
offer11,DEFAULT,AT,EUR,327,372,,260
offer12,DEFAULT,AT,CHF,46910,55804,,39063
offer12,DEFAULT,AT,EUR,41161,48963,,34274
offer12,ORIGINAL,AT,CHF,52111,61994,,43396
offer12,ORIGINAL,AT,EUR,45724,54393,,38075
offer13,DEFAULT,AT,CHF,13247,15746,,11022
offer13,DEFAULT,AT,EUR,11632,13824,,9677
offer14,DEFAULT,AT,CHF,153109,182182,,127527
offer14,DEFAULT,AT,EUR,134318,159821,,111875
offer15,DEFAULT,AT,CHF,11407,13557,,9490
offer15,DEFAULT,AT,EUR,10018,11904,,8333
offer15,ORIGINAL,AT,CHF,12664,15052,,10536
offer15,ORIGINAL,AT,EUR,11120,13216,,9251
offer16,DEFAULT,AT,CHF,70063,83357,,58350
offer16,DEFAULT,AT,EUR,61471,73132,,51192
offer17,DEFAULT,AT,CHF,288329,343094,,240166
offer17,DEFAULT,AT,EUR,252932,300972,,210680
offer18,DEFAULT,AT,CHF,20110,23913,,16739
offer18,DEFAULT,AT,EUR,17652,20988,,14692
offer18,ORIGINAL,AT,CHF,22334,26559,,18591
offer18,ORIGINAL,AT,EUR,19603,23309,,16316
offer19,DEFAULT,AT,CHF,9130,10848,,7594
offer19,DEFAULT,AT,EUR,8020,9527,,6669
offer20,DEFAULT,AT,CHF,400,459,,321
offer20,DEFAULT,AT,EUR,363,415,,290
offer21,DEFAULT,AT,CHF,533,618,,433
offer21,DEFAULT,AT,EUR,480,554,,388
offer21,ORIGINAL,AT,CHF,582,676,,473
offer21,ORIGINAL,AT,EUR,523,605,,424
offer22,DEFAULT,AT,CHF,424,487,,341
offer22,DEFAULT,AT,EUR,384,439,,307
offer23,DEFAULT,AT,CHF,892,1043,,730
offer23,DEFAULT,AT,EUR,794,927,,649
offer24,DEFAULT,AT,CHF,722,840,,588
offer24,DEFAULT,AT,EUR,645,749,,524
offer25,DEFAULT,AT,CHF,325,370,,259
offer25,DEFAULT,AT,EUR,298,337,,236
offer26,DEFAULT,AT,CHF,2784,3295,,2306
offer26,DEFAULT,AT,EUR,2454,2903,,2032
offer26,ORIGINAL,AT,CHF,3082,3650,,2555
offer26,ORIGINAL,AT,EUR,2717,3214,,2250
offer27,DEFAULT,AT,CHF,3887,4608,,3226
offer27,DEFAULT,AT,EUR,3421,4054,,2838
offer28,DEFAULT,AT,CHF,1621,1911,,1338
offer28,DEFAULT,AT,EUR,1434,1689,,1182
offer29,DEFAULT,AT,CHF,2904,3437,,2406
offer29,DEFAULT,AT,EUR,2559,3026,,2118
offer30,DEFAULT,AT,CHF,1078,1264,,885
offer30,DEFAULT,AT,EUR,957,1121,,785
offer31,DEFAULT,AT,CHF,1048,1230,,861
offer31,DEFAULT,AT,EUR,931,1091,,764
offer32,DEFAULT,AT,CHF,258,289,,202
offer32,DEFAULT,AT,EUR,238,266,,186
offer33,DEFAULT,AT,CHF,762,889,,622
offer33,DEFAULT,AT,EUR,681,792,,554
offer34,DEFAULT,AT,CHF,618,718,,503
offer34,DEFAULT,AT,EUR,554,642,,449
offer35,DEFAULT,AT,CHF,175,191,,134
offer35,DEFAULT,AT,EUR,166,180,,126
