"product_offer_reference","merchant_product_offer.concrete_sku","merchant_product_offer.merchant_reference","merchant_product_offer.merchant_sku","merchant_product_offer.is_active","merchant_product_offer.approval_status","merchant_product_offer_store.store_name","product_offer_stock.stock_name","product_offer_stock.quantity","product_offer_stock.is_never_out_of_stock","price_product_offer.price_type","price_product_offer.store","price_product_offer.currency","price_product_offer.value_net","price_product_offer.value_gross","price_product_offer.price_data.volume_prices","product_offer_validity.valid_from","product_offer_validity.valid_to","price_product_offer.value_cost"
"offer1",424270,"MER000009","GS952M00H-Q11",1,"approved",,"Spryker MER000008 Warehouse 1",10,1,,,,,,,,,
"offer2",424270,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,0,"ORIGINAL","DE","EUR",1090,1297,,,,908
"offer2",424270,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,0,"DEFAULT","DE","EUR",890,1097,,,,768
"offer2",424270,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,0,"ORIGINAL","DE","CHF",1242,1478,,,,1035
"offer2",424270,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,0,"DEFAULT","DE","CHF",1042,1278,,,,895
"offer3",424409,"MER000009","GS952M00H-Q12",0,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","EUR",170,203,,,,142
"offer3",424409,"MER000009","GS952M00H-Q12",0,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","CHF",194,230,,,,161
"offer4",424409,"MER000010",,0,"waiting_for_approval",,"Budget Stationery MER000010 Warehouse 1",10,0,"DEFAULT","DE","EUR",161,192,,,,134
"offer4",424409,"MER000010",,0,"waiting_for_approval",,"Budget Stationery MER000010 Warehouse 1",10,0,"DEFAULT","DE","CHF",184,218,,,,153
"offer5",424466,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,0,"DEFAULT","DE","EUR",170,203,,,,142
"offer5",424466,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,0,"DEFAULT","DE","CHF",194,230,,,,161
"offer6",424466,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",0,0,"DEFAULT","DE","EUR",161,192,,,,134
"offer6",424466,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",0,0,"DEFAULT","DE","CHF",184,218,,,,153
"offer7",424599,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","EUR",648,772,,"2021-09-01 00:00:00.000000","2021-10-01 00:00:00.000000",540
"offer7",424599,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","CHF",738,879,,"2021-09-01 00:00:00.000000","2021-10-01 00:00:00.000000",615
"offer8",424599,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,1,"DEFAULT","DE","EUR",614,741,,"2021-09-01 00:00:00.000000","2030-01-01 00:00:00.000000",519
"offer8",424599,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,1,"DEFAULT","DE","CHF",700,833,,"2021-09-01 00:00:00.000000","2030-01-01 00:00:00.000000",583
"offer9",420685,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","EUR",380,456,,,,319
"offer9",420685,"MER000009",,1,"approved",,"Spryker MER000008 Warehouse 1",10,1,"DEFAULT","DE","CHF",428,513,,,,359
"offer10",420685,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,1,"DEFAULT","DE","EUR",360,432,"[{""quantity"":5,""net_price"":250,""gross_price"":320},{""quantity"":20,""net_price"":100,""gross_price"":140}]",,,302
"offer10",420685,"MER000010",,1,"approved",,"Budget Stationery MER000010 Warehouse 1",10,1,"DEFAULT","DE","CHF",405,486,,,,340
