product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices
offer2,ORIGINAL,DE,EUR,1090,1297,
offer2,DEFAULT,DE,EUR,890,1097,
offer2,ORIGINAL,DE,CHF,1242,1478,
offer2,DEFAULT,DE,CHF,1042,1278,
offer3,DEFAULT,DE,EUR,170,203,
offer3,DEFAULT,DE,CHF,194,230,
offer4,DEFAULT,DE,EUR,161,192,
offer4,DEFAULT,DE,CHF,184,218,
offer5,DEFAULT,DE,EUR,170,203,
offer5,DEFAULT,DE,CHF,194,230,
offer6,DEFAULT,DE,EUR,161,192,
offer6,DEFAULT,DE,CHF,184,218,
offer7,DEFAULT,DE,EUR,648,772,
offer7,DEFAULT,DE,CHF,738,879,
offer8,DEFAULT,DE,EUR,614,741,
offer8,DEFAULT,DE,CHF,700,833,
offer9,DEFAULT,DE,EUR,380,456,
offer9,DEFAULT,DE,CHF,428,513,
offer10,DEFAULT,DE,EUR,400,480,"[{""quantity"":5,""net_price"":250,""gross_price"":320},{""quantity"":10,""net_price"":200,""gross_price"":260},{""quantity"":20,""net_price"":100,""gross_price"":140}]"
offer10,DEFAULT,DE,CHF,405,486,
