product_offer_reference,store_name
offer1,US
offer2,US
offer3,US
offer4,US
offer5,US
offer6,US
offer7,US
offer8,US
offer9,US
offer10,US
offer11,US
offer12,US
offer13,US
offer14,US
offer15,US
offer16,US
offer17,US
offer18,US
offer19,US
offer20,US
offer21,US
offer22,US
offer23,US
offer24,US
offer25,US
offer26,US
offer27,US
offer28,US
offer29,US
offer30,US
offer31,US
offer32,US
offer33,US
offer34,US
offer35,US
offer36,US
offer37,US
offer38,US
offer39,US
offer40,US
offer41,US
offer42,US
offer43,US
offer44,US
offer45,US
offer46,US
offer47,US
offer48,US
offer49,US
offer50,US
offer51,US
offer52,US
offer53,US
offer54,US
offer55,US
offer56,US
offer57,US
offer58,US
offer59,US
offer60,US
offer61,US
offer62,US
offer63,US
offer64,US
offer65,US
offer66,US
offer67,US
offer68,US
offer69,US
offer70,US
offer71,US
offer72,US
offer73,US
offer74,US
offer75,US
offer76,US
offer77,US
offer78,US
offer79,US
offer80,US
offer81,US
offer82,US
offer83,US
offer84,US
offer85,US
offer86,US
offer87,US
offer88,US
offer89,US
offer90,US
offer91,US
offer92,US
offer93,US
offer94,US
offer95,US
offer96,US
offer97,US
offer98,US
offer99,US
offer100,US
offer101,US
offer102,US
offer103,US
offer104,US
offer105,US
offer106,US
offer107,US
offer108,US
offer109,US
offer110,US
offer111,US
offer112,US
offer113,US
offer114,US
offer115,US
offer116,US
offer117,US
offer118,US
offer119,US
offer120,US
offer121,US
offer122,US
offer123,US
offer124,US
offer125,US
offer126,US
offer127,US
offer128,US
offer129,US
offer130,US
offer131,US
offer132,US
offer133,US
offer134,US
offer135,US
offer136,US
offer137,US
offer138,US
offer139,US
offer140,US
offer141,US
offer142,US
offer143,US
offer144,US
offer145,US
offer146,US
offer147,US
offer148,US
offer149,US
offer150,US
offer151,US
offer152,US
offer153,US
offer154,US
offer155,US
offer156,US
offer157,US
offer158,US
offer159,US
offer160,US
offer161,US
offer162,US
offer163,US
offer164,US
offer165,US
offer166,US
offer167,US
offer168,US
offer169,US
offer170,US
offer171,US
offer172,US
offer173,US
offer174,US
offer175,US
offer176,US
offer177,US
offer178,US
offer179,US
offer180,US
offer181,US
offer182,US
offer183,US
offer184,US
offer185,US
offer186,US
offer187,US
offer188,US
offer189,US
offer190,US
offer191,US
offer192,US
offer193,US
offer194,US
offer195,US
offer196,US
offer197,US
offer198,US
offer199,US
offer200,US
offer201,US
offer202,US
offer203,US
offer204,US
offer205,US
offer206,US
offer207,US
offer208,US
offer209,US
offer210,US
offer211,US
offer212,US
offer213,US
offer214,US
offer215,US
offer216,US
offer217,US
offer218,US
offer219,US
offer220,US
offer221,US
offer222,US
offer223,US
offer224,US
offer225,US
offer226,US
offer227,US
offer228,US
offer229,US
offer230,US
offer231,US
offer232,US
offer233,US
offer234,US
offer235,US
offer236,US
offer237,US
offer238,US
offer239,US
offer240,US
offer241,US
offer242,US
offer243,US
offer244,US
offer245,US
offer246,US
offer247,US
offer248,US
offer249,US
offer250,US
offer251,US
offer252,US
offer253,US
offer254,US
offer255,US
offer256,US
offer257,US
offer258,US
offer259,US
offer260,US
offer261,US
offer262,US
offer263,US
offer264,US
offer265,US
offer266,US
offer267,US
offer268,US
offer269,US
offer270,US
offer271,US
offer272,US
offer273,US
offer274,US
offer275,US
offer276,US
offer277,US
offer278,US
offer279,US
offer280,US
offer281,US
offer282,US
offer283,US
offer284,US
offer285,US
offer286,US
offer287,US
offer288,US
offer289,US
offer290,US
offer291,US
offer292,US
offer293,US
offer294,US
offer295,US
offer296,US
offer297,US
offer298,US
offer299,US
offer300,US
offer301,US
offer302,US
offer303,US
offer304,US
offer305,US
offer306,US
offer307,US
offer308,US
offer309,US
offer310,US
offer311,US
offer312,US
offer313,US
offer314,US
offer315,US
offer316,US
offer317,US
offer318,US
offer319,US
offer320,US
offer321,US
offer322,US
offer323,US
offer324,US
offer325,US
offer326,US
offer327,US
offer328,US
offer329,US
offer330,US
offer331,US
offer332,US
offer333,US
offer334,US
offer335,US
offer336,US
offer337,US
offer338,US
offer339,US
offer340,US
offer341,US
offer342,US
offer343,US
offer344,US
offer345,US
offer346,US
offer347,US
offer348,US
offer349,US
offer350,US
offer351,US
offer352,US
offer353,US
offer354,US
offer355,US
offer356,US
offer357,US
offer358,US
offer359,US
offer360,US
offer361,US
offer362,US
offer363,US
offer364,US
offer365,US
offer366,US
offer367,US
offer368,US
offer369,US
offer370,US
offer371,US
offer372,US
offer373,US
offer374,US
offer375,US
offer376,US
offer377,US
offer378,US
offer379,US
offer380,US
offer381,US
offer382,US
offer383,US
offer384,US
offer385,US
offer386,US
offer387,US
offer388,US
offer389,US
offer390,US
offer391,US
offer392,US
offer393,US
offer394,US
offer395,US
