abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices,value_cost
M61240,,DEFAULT,US,USD,15693,,,12906
M61240,,ORIGINAL,US,USD,17414,,,14339
,100107,DEFAULT,US,USD,15693,,,12906
,100107,ORIGINAL,US,USD,17414,,,14339
C2235,,DEFAULT,US,USD,8172,,,6641
C2235,,ORIGINAL,US,USD,9057,,,7379
,1001454,DEFAULT,US,USD,8172,,,6641
,1001454,ORIGINAL,US,USD,9057,,,7379
,100223,DEFAULT,US,USD,17941,,,14778
,100223,ORIGINAL,US,USD,19912,,,16420
M770,,DEFAULT,US,USD,26428,,,21848
M770,,ORIGINAL,US,USD,29342,,,24276
,100266,DEFAULT,US,USD,26428,,,21848
,100266,ORIGINAL,US,USD,29342,,,24276
M634,,DEFAULT,US,USD,133559,,,111088
M634,,ORIGINAL,US,USD,148376,,,123431
,100288,DEFAULT,US,USD,133559,,,111088
,100288,ORIGINAL,US,USD,148376,,,123431
M10569,,DEFAULT,US,USD,28362,,,23459
M10569,,ORIGINAL,US,USD,31491,,,26065
,100414,DEFAULT,US,USD,28362,,,23459
,100414,ORIGINAL,US,USD,31491,,,26065
M39654,,DEFAULT,US,USD,7228,,,5855
M39654,,ORIGINAL,US,USD,8008,,,6505
,100429,DEFAULT,US,USD,7228,,,5855
,100429,ORIGINAL,US,USD,8008,,,6505
M11222,,DEFAULT,US,USD,11697,,,9577
M11222,,ORIGINAL,US,USD,12974,,,10641
,100430,DEFAULT,US,USD,11697,,,9577
,100430,ORIGINAL,US,USD,12974,,,10641
M2393,,DEFAULT,US,USD,10512,,,8590
M2393,,ORIGINAL,US,USD,11657,,,9544
,100588,DEFAULT,US,USD,10512,,,8590
,100588,ORIGINAL,US,USD,11657,,,9544
M45050,,DEFAULT,US,USD,24445,,,20196
M45050,,ORIGINAL,US,USD,27138,,,22440
,100666,DEFAULT,US,USD,24445,,,20196
,100666,ORIGINAL,US,USD,27138,,,22440
M302,,DEFAULT,US,USD,10646,,,8702
M302,,ORIGINAL,US,USD,11806,,,9668
,100682,DEFAULT,US,USD,10646,,,8702
,100682,ORIGINAL,US,USD,11806,,,9668
M75601,,DEFAULT,US,USD,13178,,,10811
M75601,,ORIGINAL,US,USD,14620,,,12012
,100683,DEFAULT,US,USD,13178,,,10811
,100683,ORIGINAL,US,USD,14620,,,12012
M53238,,DEFAULT,US,USD,19317,,,15925
M53238,,ORIGINAL,US,USD,21441,,,17694
,100907,DEFAULT,US,USD,19317,,,15925
,100907,ORIGINAL,US,USD,21441,,,17694
M53331,,DEFAULT,US,USD,15941,,,13112
M53331,,ORIGINAL,US,USD,17690,,,14568
,100949,DEFAULT,US,USD,15941,,,13112
,100949,ORIGINAL,US,USD,17690,,,14568
M49344,,DEFAULT,US,USD,14268,,,11719
M49344,,ORIGINAL,US,USD,15831,,,13021
,100999,DEFAULT,US,USD,14268,,,11719
,100999,ORIGINAL,US,USD,15831,,,13021
M49207,,DEFAULT,US,USD,38036,,,31517
