block_key,block_name,template_name,template_path,active,placeholder.title.de_DE,placeholder.title.en_US,placeholder.content.de_DE,placeholder.content.en_US,placeholder.imageUrl.en_US,placeholder.imageUrl.de_DE,placeholder.link.en_US,placeholder.link.de_DE
blck-1,Your Operations Are Our Priority,Section block,@CmsBlock/template/section_block.twig,1,<h2 class='section__title section__title--secondary'>Ihr Anlagenbetrieb ist unsere Priorität</h2>,<h2 class='section__title section__title--secondary'>Your Operations Are Our Priority</h2>,"<p class='section__text'>In industriellen Umgebungen zählt jede Stunde Verfügbarkeit. Finden Sie Ersatzteile, Komponenten und Services an einem Ort, um die Produktion am Laufen zu halten.</p><div class='grid grid--gap'><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Zentrale Beschaffung</p><p class='section__text'>Finden Sie Anlagen, Ersatzteile und Services an einem Ort.</p></div><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Technische Details verfügbar</p><p class='section__text'>Greifen Sie auf Dokumentation und Produktinformationen für schnellere Entscheidungen zu.</p></div><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Für wiederkehrende Bestellungen</p><p class='section__text'>Unterstützen Sie Wartungs- und Einkaufsteams bei effizienten Bestellungen und Nachbestellungen.</p></div></div>","<p class='section__text'>In industrial environments, every hour of uptime counts. Find spare parts, components, and services in one place to help keep production moving.</p><div class='grid grid--gap'><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Centralised sourcing</p><p class='section__text'>Browse equipment, spare parts, and service needs across one storefront.</p></div><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Technical details at hand</p><p class='section__text'>Access documentation and product information to faster decision-making.</p></div><div class='col col--sm-12 col--lg-4'><p class='section__sub-heading'>Built for repeat ordering</p><p class='section__text'>Help maintenance and procurement teams order and reorder more efficiently.</p></div></div>",,,,
blck-2,Category Banner-1,Banner block,@CmsBlock/template/banner_block.twig,1,"<h2 class='section__title section__title--secondary'>Beliebte Kategorien</h2><p class='section__sub-title'>Finden Sie die Kategorien, die für die Beschaffung von Anlagen, Ersatzteilen und Services am relevantesten für Ihren Betrieb sind.</p>","<h2 class='section__title section__title--secondary'>Featured Categories</h2><p class='section__sub-title'>Find the categories most relevant to sourcing equipment, spare parts, and service needs across your operations.</p>","<p class='banner__label'>Empfohlen</p><div class='banner__title-group'><h3 class='banner__title'>Sensoren und Messgeräte</h3><p class='banner__text'>Überwachen Sie zentrale Anlagenzustände mit Sensoren und Messgeräten, die für Genauigkeit, Langlebigkeit und Betriebssicherheit gebaut sind. Von der routinemäßigen Wartung bis zur kontinuierlichen Prozessüberwachung helfen diese Komponenten Teams, schneller zu reagieren und Ausfallzeiten zu reduzieren.</p></div><ul class='banner__badges'><li class='banner__badge'>Druck</li><li class='banner__badge'>Temperatur</li><li class='banner__badge'>Zubehör</li></ul>","<p class='banner__label'>Featured</p><div class='banner__title-group'><h3 class='banner__title'>Sensors and Gauges</h3><p class='banner__text'>Monitor essential system conditions with sensors and gauges built for accuracy, durability, and operational confidence. From routine maintenance to continuous process monitoring, these components help teams respond faster and reduce downtime.</p></div><ul class='banner__badges'><li class='banner__badge'>Pressure</li><li class='banner__badge'>Temperature</li><li class='banner__badge'>Accessories</li></ul>",/assets/static/images/category-banner-image-1@2x.jpg,/assets/static/images/category-banner-image-1@2x.jpg,/en/components-and-accessories/sensors-and-gauges,/de/komponenten-und-zubehör/sensoren-und-messgeräte
blck-3,Category Banner-2,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,"<div class=""banner__title"">Thermische Energiesysteme</div>","<div class=""banner__title"">Thermal Energy Systems</div>","<div class=""banner__text"">Dampf und Heisswassersysteme, Wärmerückgewinnung und Kesselhausausrüstung für zuverlässige Industrieprozesse.</div>","<div class=""banner__text"">Steam and hot water solutions, heat recovery, and boiler house equipment for reliable industrial operations.</div>",/assets/static/images/category-banner-image-2@2x.jpg,/assets/static/images/category-banner-image-2@2x.jpg,/en/thermal-energy-systems,/de/thermische-energiesysteme
blck-4,Category Banner-3,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,"<div class=""banner__title"">Dampfkessel</div>","<div class=""banner__title"">Steam Boilers</div>","<div class=""banner__text"">Industrielle Dampfkessel und Kesselhaus Equipment für Sicherheit, Verfügbarkeit und planbare Wartung.</div>","<div class=""banner__text"">Industrial steam boilers and boiler house equipment for safety, uptime, and planned maintenance.</div>",/assets/static/images/category-banner-image-3@2x.jpg,/assets/static/images/category-banner-image-3@2x.jpg,/en/thermal-energy-systems/steam-boilers,/de/thermische-energiesysteme/dampfkessel
blck-5,Category Banner-4,Banner grid column block,@CmsBlock/template/banner_grid_column_block.twig,1,"<div class=""banner__title"">Pumpen</div>","<div class=""banner__title"">Pumps</div>","<div class=""banner__text"">Umwälz, Booster und Kondensatlösungen für stabile Förderleistung und zuverlässige Performance.</div>","<div class=""banner__text"">Circulation, booster, and condensate solutions for stable flow and dependable performance.</div>",/assets/static/images/category-banner-image-4@2x.jpg,/assets/static/images/category-banner-image-4@2x.jpg,/en/components-and-accessories/pumps,/de/komponenten-und-zubehör/pumpen
blck-6,Category Block Bottom,Title and Content,@CmsBlock/template/title_and_content_block.twig,1,<h2>Schaffen Sie eine einladende Arbeitsatmosphäre</h2>,<h2>Build a Space That Spurs Creativity</h2>,"<p>Nur weil es Arbeit ist, muss es sich nicht danach anfühlen. Überarbeiten Sie Ihre Büroräume, um eine organisierte, funktionale und <a href='/de/b%C3%BCroausstattung'>komfortable Arbeitsatmosphäre</a> zu schaffen, indem Sie aus Spryker's großer Auswahl wählen.</p> <p>Das Büro ist ein Ort, an dem die Leute die meiste Zeit ihres Tages verbringen. Deshalb hat es sich Spryker zur Aufgabe gemacht, sicherzustellen, dass <a href='/de/b%C3%BCrobedarf'>unsere Produktauswahl</a> Ihren Raum in einen einladenden, produktiven und kreativen Bereich verwandelt, um die besten Tallente für Sie zu gewinnen.</p>","<p>Just because it's work, doesn't mean it should feel like it. Complete your office space to create an organized, functional, and comfortable <a href='/en/office-equipment'>working environment</a> utilizing any item from Spryker's large selection.</p> <p>The office is a place where people spend a majority of their time, so Spryker has made it our mission to ensure <a href='/en/stationery'>our selection transforms your space</a> into a welcoming, productive, and creative area in order to attract and develop the best talent for your industry.</p>",,,,
blck-7,Category Block Middle,Title and Content,@CmsBlock/template/title_and_content_block.twig,1,<h2>Greifen Sie Ihre To-Dos an</h2>,<h2>Tackle Your To-Do's</h2>,"<p>Seien Sie der Büroheld und schaffen Sie mit zuverlässigen Artikel einen besseren Platz zum Arbeiten. Suchen Sie in der großen Auswahl von Spryker nach den besten <a href='/de/b%C3%BCrom%C3%B6bel'>Büromöbeln</a>, <a href='/de/b%C3%BCroausstattung/computerzubeh%C3%B6r'>Zubehör</a> und Elektronik in einer unübertroffenen Qualität und immer niedrigen Preisen.</p>","<p>Be the office hero by adding durable and reliable products to make your space a great place to work. Search Spryker's wide selection to find the best <a href='/en/office-furniture'>office furniture</a>, supplies, and <a href='/en/office-equipment/computer-accessories'>electronics</a> at an unmatched quality and always low price.</p>",,,,
blck-8,Product CMS Block,Product Block,@CmsBlock/template/product-cms-block.twig,1,Schaffen Sie eine einladende Arbeitsatmosphäre,Build a Space That Spurs Creativity,"<p>Nur weil es Arbeit ist, muss es sich nicht danach anfühlen. Überarbeiten Sie Ihre Büroräume, um eine organisierte, funktionale und <a href=""/de/b%C3%BCroausstattung"">komfortable Arbeitsatmosphäre</a> zu schaffen, indem Sie aus Spryker's großer Auswahl wählen.</p>
    <p>Das Büro ist ein Ort, an dem die Leute die meiste Zeit ihres Tages verbringen. Deshalb hat es sich Spryker zur Aufgabe gemacht, sicherzustellen, dass <a href=""/de/b%C3%BCrobedarf"">unsere Produktauswahl</a> Ihren Raum in einen einladenden, produktiven und kreativen Bereich verwandelt, um die besten Tallente für Sie zu gewinnen.</p>","<p>Just because it's work, doesn't mean it should feel like it. Complete your office space to create an organized, functional, and comfortable <a href=""/en/office-equipment"">working environment</a> utilizing any item from Spryker's large selection.</p>
    <p>The office is a place where people spend a majority of their time, so Spryker has made it our mission to ensure <a href=""/en/stationery"">our selection transforms your space</a> into a welcoming, productive, and creative area in order to attract and develop the best talent for your industry.</p>",,,,
blck-9,Homepage Top Banners Carousel,Jumbotron Block,@CmsBlock/template/jumbotron_block.twig,1,,,"{{ content_banner('br-1', 'home-page') }}{{ content_banner('br-2', 'home-page') }}{{ content_banner('br-3', 'home-page') }}","{{ content_banner('br-1', 'home-page') }}{{ content_banner('br-2', 'home-page') }}{{ content_banner('br-3', 'home-page') }}",,,,
blck-10,Homepage Featured Products,Section block,@CmsBlock/template/section_block.twig,1,"<h2 class=""section__title section__title--secondary"">Produktangebote</h2>","<h2 class=""section__title section__title--secondary"">Featured Products</h2>","<p class=""section__sub-title"">Es ist zwar Arbeit, aber es muss sich nicht danach anfühlen. Sehen Sie sich unsere Produktangebote an.</p>
{{ content_product_abstract_list('apl-1', 'slider') }}","<p class=""section__sub-title"">It might be work, but it doesn't have to feel like it. Explore some of our featured items.</p>
{{ content_product_abstract_list('apl-1', 'slider') }}",,,,
blck-11,Homepage Top sellers Products,Section block,@CmsBlock/template/section_block.twig,1,"<h2 class=""section__title section__title--secondary"">Topseller</h2>","<h2 class=""section__title section__title--secondary"">Best Sellers</h2>","<p class=""section__sub-title"">Sehen Sie, worauf andere Kunden am häufigsten setzen, aus unserer Auswahl an Industriekomponenten, Anlagen und Services.</p>
{{ content_product_abstract_list('apl-2', 'slider') }}
","<p class=""section__sub-title"">See what other customers rely on most from our selection of industrial components, systems, and services.</p>
{{ content_product_abstract_list('apl-2', 'slider') }}",,,,
blck-nav-desktop,CMS block for the main navigation desktop,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}",,,,
blck-nav-mobile,CMS block for the main navigation mobile,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-main-mobile', 'navigation-header') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header') }}",,,,
blck-nav-footer-1,CMS block for the footer partners,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-partners', 'footer-partners') }}","{{ content_navigation('navigation-partners', 'footer-partners') }}",,,,
blck-nav-footer-2,CMS block for the footer navigation,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-footer-categories', 'navigation-footer') }}{{ content_navigation('navigation-footer-brands', 'navigation-footer') }}{{ content_navigation('navigation-footer', 'navigation-footer') }}","{{ content_navigation('navigation-footer-categories', 'navigation-footer') }}{{ content_navigation('navigation-footer-brands', 'navigation-footer') }}{{ content_navigation('navigation-footer', 'navigation-footer') }}",,,,
blck-nav-footer-3,CMS block for the footer social links,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-social-links', 'footer-social-links') }}","{{ content_navigation('navigation-social-links', 'footer-social-links') }}",,,,
blck-nav-footer-4,CMS block for the footer navigation on checkout,Navigation block,@CmsBlock/template/navigation_block.twig,1,,,"{{ content_navigation('navigation-footer', 'navigation-footer-checkout') }}","{{ content_navigation('navigation-footer', 'navigation-footer-checkout') }}",,,,
