file_reference,entity_type,entity_key
FILE-1,ssp_asset,AST--11
FILE-1,ssp_asset,AST--10
FILE-1,ssp_asset,AST--4
FILE-1,ssp_asset,AST--2
FILE-1,ssp_asset,AST--1
FILE-2,company_business_unit,acme_corporation_HR
FILE-3,company_business_unit,acme_corporation_HQ
FILE-3,company_business_unit,acme_corporation_Barcelona
FILE-3,company_business_unit,acme_corporation_Zurich
FILE-3,company_business_unit,acme_corporation_Zurich_Sales
FILE-3,company_business_unit,acme_corporation_Zurich_Support
FILE-3,company_business_unit,acme_corporation_Berlin
FILE-3,company_business_unit,acme_corporation_HR
FILE-4,company_business_unit,acme_corporation_HQ
FILE-4,company_business_unit,acme_corporation_Barcelona
FILE-4,company_business_unit,acme_corporation_Zurich
FILE-4,company_business_unit,acme_corporation_Zurich_Sales
FILE-4,company_business_unit,acme_corporation_Zurich_Support
FILE-4,company_business_unit,acme_corporation_Berlin
FILE-4,company_business_unit,acme_corporation_HR
