product_offer_reference,stock_name,quantity,is_never_out_of_stock
offer1,Spryker MER000008 Warehouse 1,10,1
offer2,Budget Stationery MER000010 Warehouse 1,10,0
offer3,Spryker MER000008 Warehouse 1,10,1
offer4,Budget Stationery MER000010 Warehouse 1,10,0
offer5,Spryker MER000008 Warehouse 1,10,0
offer6,Budget Stationery MER000010 Warehouse 1,0,0
offer7,Spryker MER000008 Warehouse 1,10,1
offer8,Budget Stationery MER000010 Warehouse 1,10,1
offer9,Spryker MER000008 Warehouse 1,10,1
offer10,Budget Stationery MER000010 Warehouse 1,10,1
offer11,Office King MER000009 Warehouse 1,10,1
offer12,Office King MER000009 Warehouse 1,10,1
offer13,Office King MER000009 Warehouse 1,10,0
offer14,Office King MER000009 Warehouse 1,10,0
offer15,Office King MER000009 Warehouse 1,10,1
offer16,Office King MER000009 Warehouse 1,10,1
offer17,Office King MER000009 Warehouse 1,10,1
offer18,Office King MER000009 Warehouse 1,10,0
offer19,Office King MER000009 Warehouse 1,10,0
offer20,Office King MER000009 Warehouse 1,10,1
offer21,Office King MER000009 Warehouse 1,10,1
offer22,Office King MER000009 Warehouse 1,10,0
offer23,Office King MER000009 Warehouse 1,10,0
offer24,Office King MER000009 Warehouse 1,10,0
offer25,Office King MER000009 Warehouse 1,10,1
offer26,Office King MER000009 Warehouse 1,10,0
offer27,Office King MER000009 Warehouse 1,10,0
offer28,Office King MER000009 Warehouse 1,10,1
offer29,Office King MER000009 Warehouse 1,10,1
offer30,Office King MER000009 Warehouse 1,10,0
offer31,Office King MER000009 Warehouse 1,10,0
offer32,Office King MER000009 Warehouse 1,10,1
offer33,Office King MER000009 Warehouse 1,10,1
offer34,Office King MER000009 Warehouse 1,10,1
offer35,Office King MER000009 Warehouse 1,10,1
offer36,Office King MER000009 Warehouse 1,10,1
offer37,Office King MER000009 Warehouse 1,10,1
offer38,Office King MER000009 Warehouse 1,10,1
offer39,Office King MER000009 Warehouse 1,10,1
offer40,Office King MER000009 Warehouse 1,10,0
offer41,Office King MER000009 Warehouse 1,10,1
offer42,Office King MER000009 Warehouse 1,10,0
offer43,Office King MER000009 Warehouse 1,10,1
offer44,Office King MER000009 Warehouse 1,0,0
offer45,Office King MER000009 Warehouse 1,10,1
offer46,Office King MER000009 Warehouse 1,0,0
offer47,Office King MER000009 Warehouse 1,10,0
offer48,Office King MER000009 Warehouse 1,10,1
offer49,Office King MER000009 Warehouse 1,10,1
offer50,Office King MER000009 Warehouse 1,10,1
offer51,Office King MER000009 Warehouse 1,10,1
offer52,Office King MER000009 Warehouse 1,10,1
offer53,Office King MER000009 Warehouse 1,10,1
offer54,Office King MER000009 Warehouse 1,10,1
offer55,Office King MER000009 Warehouse 1,0,0
offer56,Office King MER000009 Warehouse 1,10,1
offer57,Office King MER000009 Warehouse 1,10,0
offer58,Office King MER000009 Warehouse 1,10,1
offer59,Office King MER000009 Warehouse 1,10,1
offer60,Office King MER000009 Warehouse 1,10,0
offer61,Office King MER000009 Warehouse 1,10,1
offer62,Office King MER000009 Warehouse 1,10,1
offer63,Office King MER000009 Warehouse 1,10,0
offer64,Office King MER000009 Warehouse 1,10,0
offer65,Office King MER000009 Warehouse 1,10,1
offer66,Office King MER000009 Warehouse 1,10,0
offer67,Office King MER000009 Warehouse 1,10,0
offer68,Office King MER000009 Warehouse 1,10,0
offer69,Office King MER000009 Warehouse 1,10,0
offer70,Office King MER000009 Warehouse 1,10,1
offer71,Office King MER000009 Warehouse 1,10,1
offer72,Office King MER000009 Warehouse 1,10,0
