merchant_reference,merchant_name,registration_number,status,email,is_active,url.de_DE,url.en_US,is_open_for_relation_request
MER000001,Products Restrictions Merchant,1,approved,demo-restrictions-1@merchant.com,1,/de/merchant/demo-restrictions-1,/en/merchant/demo-restrictions-1,0
MER000002,Prices Merchant,2,approved,demo-prices-1@merchant.com,1,/de/merchant/demo-prices-1,/en/merchant/demo-prices-1,0
MER000003,Kudu Merchant,3,approved,kudu-merchant-1@merchant.com,1,/de/merchant/kudu-merchant-1,/en/merchant/kudu-merchant-1,0
MER000004,Oryx Merchant,4,approved,oryx-merchant-1@merchant.com,1,/de/merchant/oryx-merchant-1,/en/merchant/oryx-merchant-1,0
MER000005,Impala Merchant,5,approved,impala@merchant.com,1,/de/merchant/impala-merchant-1,/en/merchant/impala-merchant-1,0
MER000006,Sugar Monster,6,approved,sugar.monster@merchant.com,1,/de/merchant/sugar-monster,/en/merchant/sugar-monster,0
MER000007,Restrictions Merchant,7,approved,restrictions@merchant.com,1,/de/merchant/restrictions-merchant,/en/merchant/restrictions-merchant,0
MER000008,Spryker,HRB 134310,approved,info@spryker.com,1,/de/merchant/spryker,/en/merchant/spryker,1
MER000009,Office King,1234.4567,approved,hi@office-king.nl,1,/de/merchant/office-king,/en/merchant/office-king,1
MER000010,Budget Stationery,HXX 134305,approved,support@budgetstationery.com,1,/de/merchant/budget-stationery,/en/merchant/budget-stationery,1
MER000011,Computer Experts,HYY 134306,approved,support@computer-experts.com,1,/de/merchant/computer-experts,/en/merchant/computer-experts,1
