merchant_reference,week_day_key,time_from,time_to
MER000008,MONDAY,7:00:00,13:00:00
MER000008,MONDAY,14:00:00,20:00:00
MER000008,TUESDAY,7:00:00,20:00:00
MER000008,WEDNESDAY,7:00:00,20:00:00
MER000008,THURSDAY,7:00:00,20:00:00
MER000008,FRIDAY,7:00:00,20:00:00
MER000008,SATURDAY,7:00:00,20:00:00
MER000008,SUNDAY,,
MER000009,MONDAY,8:00:00,13:00:00
MER000009,MONDAY,14:00:00,19:00:00
MER000009,TUESDAY,8:00:00,19:00:00
MER000009,WEDNESDAY,8:00:00,19:00:00
MER000009,THURSDAY,8:00:00,19:00:00
MER000009,FRIDAY,8:00:00,19:00:00
MER000009,SATURDAY,8:00:00,19:00:00
MER000009,SUNDAY,,
MER0000010,MONDAY,8:00:00,13:00:00
MER0000010,MONDAY,14:00:00,19:00:00
MER0000010,TUESDAY,8:00:00,19:00:00
MER0000010,WEDNESDAY,8:00:00,19:00:00
MER0000010,THURSDAY,8:00:00,19:00:00
MER0000010,FRIDAY,8:00:00,19:00:00
MER0000010,SATURDAY,8:00:00,19:00:00
MER0000010,SUNDAY,,
MER0000011,MONDAY,7:00:00,13:00:00
MER0000011,MONDAY,14:00:00,20:00:00
MER0000011,TUESDAY,7:00:00,20:00:00
MER0000011,WEDNESDAY,7:00:00,20:00:00
MER0000011,THURSDAY,7:00:00,20:00:00
MER0000011,FRIDAY,7:00:00,20:00:00
MER0000011,SATURDAY,7:00:00,20:00:00
MER0000011,SUNDAY,,
