merchant_relation_key,merchant_reference,company_business_unit_owner_key,company_business_unit_assignee_keys
mr-001,MER000001,Ottom_HQ,"Ottom_store_Berlin;Ottom_store_London"
mr-002,MER000001,Ottom_HQ,"Ottom_store_Oslo"
mr-003,MER000001,Ottom_HQ,"Supplier_Department"
mr-004,MER000008,acme_corporation_Zurich,"acme_corporation_Zurich;acme_corporation_Zurich_Sales;acme_corporation_Zurich_Support"
mr-005,MER000008,acme_corporation_HQ,"acme_corporation_HQ;acme_corporation_Barcelona;acme_corporation_Berlin;acme_corporation_HR"
mr-006,MER000004,proof-bus-unit-2,"proof-bus-unit-2"
mr-007,MER000004,proof-bus-unit-1,"proof-bus-unit-1;proof-bus-unit-2;proof-bus-unit-3"
sugar-monster-acme-hq-1,MER000006,acme_corporation_HQ,acme_corporation_HQ
sugar-monster-acme-hq-2,MER000006,acme_corporation_HQ,acme_corporation_Barcelona
sugar-monster-acme-hq-3,MER000006,acme_corporation_HQ,acme_corporation_Zurich
sugar-monster-acme-hq-4,MER000006,acme_corporation_HQ,acme_corporation_Zurich_Sales
sugar-monster-acme-hq-5,MER000006,acme_corporation_HQ,acme_corporation_Zurich_Support
sugar-monster-acme-hq-6,MER000006,acme_corporation_HQ,acme_corporation_Berlin
sugar-monster-acme-hq-7,MER000006,acme_corporation_HQ,acme_corporation_HR
sugar-monster-ottom-supplier-1,MER000006,Supplier_Department,Supplier_Department
sugar-monster-ottom-supplier-2,MER000006,Supplier_Department,Ottom_store_Berlin
sugar-monster-ottom-supplier-3,MER000006,Supplier_Department,Ottom_store_Oslo
sugar-monster-ottom-supplier-4,MER000006,Supplier_Department,Ottom_store_London
mr-008,MER000007,BU-IT-no-ASUS,BU-IT-no-tablets;BU-IT-no-ASUS
mr-009,MER000007,BU-IT-only-wearables,"BU-IT-only-wearables"
mr-010,MER000007,Sales-under-400,"Sales-under-400"
mr-011,MER000007,Sales,Sales;Sales-under-400
