concrete_sku,quantity_min,quantity_max,quantity_interval
425079,1,,1
425078,1,,1
425082,5,1000,
HWB-CV150,1,5,1
HWB-CV220,1,5,1
HWB-OH300,1,5,1
HWB-OH500,1,5,1
HWB-EL80,1,5,1
HWB-EL120,1,5,1
HWB-BP200-1,1,5,1
HWB-MC240-1,1,5,1
IAC-RTU-25-D-S,1,5,1
IAC-RTU-25-D-D,1,5,1
IAC-RTU-25-H-S,1,5,1
IAC-RTU-25-H-D,1,5,1
IAC-RTU-40-D-S,1,5,1
IAC-RTU-40-D-D,1,5,1
IAC-RTU-60-D-S,1,5,1
IAC-RTU-60-D-D,1,5,1
IAC-RTU-80-D-S,1,5,1
IAC-RTU-80-D-D,1,5,1
IAC-RTU-80-U-D,1,5,1
IAC-PAC-10-N-U,1,5,1
IAC-PAC-10-H-U,1,5,1
IAC-PAC-20-N-U,1,5,1
IAC-PAC-20-H-D,1,5,1
IAC-PAC-35-N-D,1,5,1
IAC-PAC-35-H-R,1,5,1
IAC-SAS-7-CO-1P,1,5,1
IAC-SAS-7-HP-1P,1,5,1
IAC-SAS-12-CO-1P,1,5,1
IAC-SAS-12-HP-1P,1,5,1
IAC-SAS-18-CO-3P,1,5,1
IAC-SAS-18-HP-3P,1,5,1
IAC-SAS-18-EH-3P,1,5,1
IAC-SAS-24-HP-3P,1,5,1
IAC-SAS-24-EH-3P,1,5,1
