concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
service-004-1,Warehouse1,10,1,0
SS-BV-1001-1,"Warehouse1",11,0,0
SS-BV-1001-2,"Warehouse1",8,0,0
TS-PT100-202-1,"Warehouse1",16,0,0
TS-PT100-202-2,"Warehouse1",2,1,0
TS-PT100-202-3,"Warehouse1",8,0,0
TS-PT100-202-4,"Warehouse1",11,0,0
IE-1103-1,"Warehouse1",17,0,0
IE-1103-2,"Warehouse1",17,0,0
IE-1103-3,"Warehouse1",19,1,0
CP-2080-1,"Warehouse1",13,0,0
CP-2080-2,"Warehouse1",11,1,0
GS-HE-4002-1,"Warehouse1",7,1,0
GS-HE-4002-2,"Warehouse1",14,1,0
GS-HE-4002-3,"Warehouse1",13,0,0
SB-H1500-1,"Warehouse1",18,0,0
SB-H1500-2,"Warehouse1",9,1,0
SB-H1500-3,"Warehouse1",19,1,0
CRPU-0032-1,"Warehouse1",0,1,0
CRPU-0032-2,"Warehouse1",8,1,0
FGV-2502-1,"Warehouse1",1,0,0
FGV-2502-2,"Warehouse1",9,1,0
FGV-2502-3,"Warehouse1",3,0,0
STL-7010-1,"Warehouse1",0,0,0
STL-7010-2,"Warehouse1",8,1,0
HP-ECO-45K-1,"Warehouse1",19,0,0
HP-ECO-45K-2,"Warehouse1",12,1,0
HP-ECO-45K-3,"Warehouse1",2,0,0
DPS-1600-1,"Warehouse1",7,0,0
DPS-1600-2,"Warehouse1",16,0,0
HPCP-3020-1,"Warehouse1",9,0,0
HPCP-3020-2,"Warehouse1",16,0,0
BISP-7001-1,"Warehouse1",17,0,0
BISP-7001-2,"Warehouse1",17,1,0
SSV-DN40-225-1,"Warehouse1",13,0,0
SSV-DN40-225-2,"Warehouse1",10,0,0
VSB-2500-1,"Warehouse1",8,1,0
VSB-2500-2,"Warehouse1",1,1,0
IBP-SS-09-1,"Warehouse1",3,0,0
IBP-SS-09-2,"Warehouse1",0,0,0
DCA-900-1,"Warehouse1",13,0,0
DCA-900-2,"Warehouse1",0,1,0
DCA-900-3,"Warehouse1",4,1,0
DTC-920-1,"Warehouse1",7,1,0
DTC-920-2,"Warehouse1",14,0,0
DTC-920-3,"Warehouse1",19,0,0
ET-HS-120-1,"Warehouse1",1,1,0
ET-HS-120-2,"Warehouse1",0,1,0
ET-HS-120-3,"Warehouse1",18,0,0
HP-IND-60K-1,"Warehouse1",16,0,0
HP-IND-60K-2,"Warehouse1",11,0,0
