product_offer_reference,store_name
plm_offer_01,PL
plm_offer_02,PL
plm_offer_03,PL
plm_offer_04,PL
plm_offer_05,PL
plm_offer_06,PL
plm_offer_07,PL
plm_offer_08,PL
plm_offer_09,PL
plm_offer_10,PL
plm_offer_11,PL
plm_offer_12,PL
plm_offer_13,PL
plm_offer_14,PL
plm_offer_15,PL
plm_offer_16,PL
plm_offer_17,PL
plm_offer_18,PL
plm_offer_19,PL
plm_offer_20,PL
plm_offer_21,PL
plm_offer_22,PL
plm_offer_23,PL
plm_offer_24,PL
plm_offer_25,PL
plm_offer_26,PL
plm_offer_27,PL
plm_offer_28,PL
plm_offer_29,PL
plm_offer_30,PL
plm_offer_31,PL
plm_offer_32,PL
plm_offer_33,PL
