abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
PLM-BRG-6204,,DEFAULT,PL,EUR,840,1033,
PLM-BRG-6308,,DEFAULT,PL,EUR,2490,3063,
PLM-BRG-TAP32,,DEFAULT,PL,EUR,4150,5105,
PLM-GBX-NMRV63,,DEFAULT,PL,EUR,18600,22878,
PLM-FST-HEXM8,,DEFAULT,PL,EUR,500,615,
PLM-FST-HEXM12,,DEFAULT,PL,EUR,1290,1587,
PLM-FST-NUTM10,,DEFAULT,PL,EUR,960,1181,
PLM-FST-ANCHM10,,DEFAULT,PL,EUR,2240,2755,
PLM-SEA-ORING,,DEFAULT,PL,EUR,3100,3813,
PLM-SEA-SHAFT35,,DEFAULT,PL,EUR,670,824,
PLM-HYD-CYL63,,DEFAULT,PL,EUR,41200,50676,
PLM-LUB-EP2,,DEFAULT,PL,EUR,590,726,
PLM-LUB-HLP46,,DEFAULT,PL,EUR,2100,2583,
PLM-CHM-BRAKE,,DEFAULT,PL,EUR,510,627,
PLM-TLS-TORQ,,DEFAULT,PL,EUR,12400,15252,
PLM-TLS-SOCK94,,DEFAULT,PL,EUR,18900,23247,
PLM-ABR-FLAP125,,DEFAULT,PL,EUR,540,664,
PLM-TLS-IMPACT,,DEFAULT,PL,EUR,118000,145140,
PLM-WSC-WIPE,,DEFAULT,PL,EUR,1890,2325,
PLM-WSC-GLOVE,,DEFAULT,PL,EUR,1240,1525,
PLM-BRG-6204,,DEFAULT,PL,PLN,3612,4442,
PLM-BRG-6308,,DEFAULT,PL,PLN,10707,13171,
PLM-BRG-TAP32,,DEFAULT,PL,PLN,17845,21952,
PLM-GBX-NMRV63,,DEFAULT,PL,PLN,79980,98375,
PLM-FST-HEXM8,,DEFAULT,PL,PLN,2150,2645,
PLM-FST-HEXM12,,DEFAULT,PL,PLN,5547,6824,
PLM-FST-NUTM10,,DEFAULT,PL,PLN,4128,5078,
PLM-FST-ANCHM10,,DEFAULT,PL,PLN,9632,11847,
PLM-SEA-ORING,,DEFAULT,PL,PLN,13330,16396,
PLM-SEA-SHAFT35,,DEFAULT,PL,PLN,2881,3543,
PLM-HYD-CYL63,,DEFAULT,PL,PLN,177160,217907,
PLM-LUB-EP2,,DEFAULT,PL,PLN,2537,3122,
PLM-LUB-HLP46,,DEFAULT,PL,PLN,9030,11107,
PLM-CHM-BRAKE,,DEFAULT,PL,PLN,2193,2696,
PLM-TLS-TORQ,,DEFAULT,PL,PLN,53320,65584,
PLM-TLS-SOCK94,,DEFAULT,PL,PLN,81270,99962,
PLM-ABR-FLAP125,,DEFAULT,PL,PLN,2322,2855,
PLM-TLS-IMPACT,,DEFAULT,PL,PLN,507400,624102,
PLM-WSC-WIPE,,DEFAULT,PL,PLN,8127,9998,
PLM-WSC-GLOVE,,DEFAULT,PL,PLN,5332,6558,
