product_offer_reference,store_name
plm_offer_01,UA
plm_offer_02,UA
plm_offer_03,UA
plm_offer_04,UA
plm_offer_05,UA
plm_offer_06,UA
plm_offer_07,UA
plm_offer_08,UA
plm_offer_09,UA
plm_offer_10,UA
plm_offer_11,UA
plm_offer_12,UA
plm_offer_13,UA
plm_offer_14,UA
plm_offer_15,UA
plm_offer_16,UA
plm_offer_17,UA
plm_offer_18,UA
plm_offer_19,UA
plm_offer_20,UA
plm_offer_21,UA
plm_offer_22,UA
plm_offer_23,UA
plm_offer_24,UA
plm_offer_25,UA
plm_offer_26,UA
plm_offer_27,UA
plm_offer_28,UA
plm_offer_29,UA
plm_offer_30,UA
plm_offer_31,UA
plm_offer_32,UA
plm_offer_33,UA
