product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices
plm_offer_01,DEFAULT,UA,EUR,840,1008,
plm_offer_02,DEFAULT,UA,EUR,2490,2988,
plm_offer_03,DEFAULT,UA,EUR,4150,4980,
plm_offer_04,DEFAULT,UA,EUR,18600,22320,
plm_offer_05,DEFAULT,UA,EUR,500,600,
plm_offer_06,DEFAULT,UA,EUR,560,672,
plm_offer_07,DEFAULT,UA,EUR,630,756,
plm_offer_08,DEFAULT,UA,EUR,1290,1548,
plm_offer_09,DEFAULT,UA,EUR,1480,1776,
plm_offer_10,DEFAULT,UA,EUR,1740,2088,
plm_offer_11,DEFAULT,UA,EUR,960,1152,
plm_offer_12,DEFAULT,UA,EUR,2240,2688,
plm_offer_13,DEFAULT,UA,EUR,2680,3216,
plm_offer_14,DEFAULT,UA,EUR,3100,3720,
plm_offer_15,DEFAULT,UA,EUR,670,804,
plm_offer_16,DEFAULT,UA,EUR,760,912,
plm_offer_17,DEFAULT,UA,EUR,850,1020,
plm_offer_18,DEFAULT,UA,EUR,41200,49440,
plm_offer_19,DEFAULT,UA,EUR,46800,56160,
plm_offer_20,DEFAULT,UA,EUR,52400,62880,
plm_offer_21,DEFAULT,UA,EUR,590,708,
plm_offer_22,DEFAULT,UA,EUR,2100,2520,
plm_offer_23,DEFAULT,UA,EUR,6850,8220,
plm_offer_24,DEFAULT,UA,EUR,62000,74400,
plm_offer_25,DEFAULT,UA,EUR,510,612,
plm_offer_26,DEFAULT,UA,EUR,12400,14880,
plm_offer_27,DEFAULT,UA,EUR,18900,22680,
plm_offer_28,DEFAULT,UA,EUR,540,648,
plm_offer_29,DEFAULT,UA,EUR,118000,141600,
plm_offer_30,DEFAULT,UA,EUR,1890,2268,
plm_offer_31,DEFAULT,UA,EUR,1240,1488,
plm_offer_32,DEFAULT,UA,EUR,1240,1488,
plm_offer_33,DEFAULT,UA,EUR,1340,1608,
plm_offer_01,DEFAULT,UA,UAH,40320,48384,
plm_offer_02,DEFAULT,UA,UAH,119520,143424,
plm_offer_03,DEFAULT,UA,UAH,199200,239040,
plm_offer_04,DEFAULT,UA,UAH,892800,1071360,
plm_offer_05,DEFAULT,UA,UAH,24000,28800,
plm_offer_06,DEFAULT,UA,UAH,26880,32256,
plm_offer_07,DEFAULT,UA,UAH,30240,36288,
plm_offer_08,DEFAULT,UA,UAH,61920,74304,
plm_offer_09,DEFAULT,UA,UAH,71040,85248,
plm_offer_10,DEFAULT,UA,UAH,83520,100224,
plm_offer_11,DEFAULT,UA,UAH,46080,55296,
plm_offer_12,DEFAULT,UA,UAH,107520,129024,
plm_offer_13,DEFAULT,UA,UAH,128640,154368,
plm_offer_14,DEFAULT,UA,UAH,148800,178560,
plm_offer_15,DEFAULT,UA,UAH,32160,38592,
plm_offer_16,DEFAULT,UA,UAH,36480,43776,
plm_offer_17,DEFAULT,UA,UAH,40800,48960,
plm_offer_18,DEFAULT,UA,UAH,1977600,2373120,
plm_offer_19,DEFAULT,UA,UAH,2246400,2695680,
plm_offer_20,DEFAULT,UA,UAH,2515200,3018240,
plm_offer_21,DEFAULT,UA,UAH,28320,33984,
plm_offer_22,DEFAULT,UA,UAH,100800,120960,
plm_offer_23,DEFAULT,UA,UAH,328800,394560,
plm_offer_24,DEFAULT,UA,UAH,2976000,3571200,
plm_offer_25,DEFAULT,UA,UAH,24480,29376,
plm_offer_26,DEFAULT,UA,UAH,595200,714240,
plm_offer_27,DEFAULT,UA,UAH,907200,1088640,
plm_offer_28,DEFAULT,UA,UAH,25920,31104,
plm_offer_29,DEFAULT,UA,UAH,5664000,6796800,
plm_offer_30,DEFAULT,UA,UAH,90720,108864,
plm_offer_31,DEFAULT,UA,UAH,59520,71424,
plm_offer_32,DEFAULT,UA,UAH,59520,71424,
plm_offer_33,DEFAULT,UA,UAH,64320,77184,
