abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
PLM-BRG-6204,,DEFAULT,UA,EUR,840,1008,
PLM-BRG-6308,,DEFAULT,UA,EUR,2490,2988,
PLM-BRG-TAP32,,DEFAULT,UA,EUR,4150,4980,
PLM-GBX-NMRV63,,DEFAULT,UA,EUR,18600,22320,
PLM-FST-HEXM8,,DEFAULT,UA,EUR,500,600,
PLM-FST-HEXM12,,DEFAULT,UA,EUR,1290,1548,
PLM-FST-NUTM10,,DEFAULT,UA,EUR,960,1152,
PLM-FST-ANCHM10,,DEFAULT,UA,EUR,2240,2688,
PLM-SEA-ORING,,DEFAULT,UA,EUR,3100,3720,
PLM-SEA-SHAFT35,,DEFAULT,UA,EUR,670,804,
PLM-HYD-CYL63,,DEFAULT,UA,EUR,41200,49440,
PLM-LUB-EP2,,DEFAULT,UA,EUR,590,708,
PLM-LUB-HLP46,,DEFAULT,UA,EUR,2100,2520,
PLM-CHM-BRAKE,,DEFAULT,UA,EUR,510,612,
PLM-TLS-TORQ,,DEFAULT,UA,EUR,12400,14880,
PLM-TLS-SOCK94,,DEFAULT,UA,EUR,18900,22680,
PLM-ABR-FLAP125,,DEFAULT,UA,EUR,540,648,
PLM-TLS-IMPACT,,DEFAULT,UA,EUR,118000,141600,
PLM-WSC-WIPE,,DEFAULT,UA,EUR,1890,2268,
PLM-WSC-GLOVE,,DEFAULT,UA,EUR,1240,1488,
PLM-BRG-6204,,DEFAULT,UA,UAH,40320,48384,
PLM-BRG-6308,,DEFAULT,UA,UAH,119520,143424,
PLM-BRG-TAP32,,DEFAULT,UA,UAH,199200,239040,
PLM-GBX-NMRV63,,DEFAULT,UA,UAH,892800,1071360,
PLM-FST-HEXM8,,DEFAULT,UA,UAH,24000,28800,
PLM-FST-HEXM12,,DEFAULT,UA,UAH,61920,74304,
PLM-FST-NUTM10,,DEFAULT,UA,UAH,46080,55296,
PLM-FST-ANCHM10,,DEFAULT,UA,UAH,107520,129024,
PLM-SEA-ORING,,DEFAULT,UA,UAH,148800,178560,
PLM-SEA-SHAFT35,,DEFAULT,UA,UAH,32160,38592,
PLM-HYD-CYL63,,DEFAULT,UA,UAH,1977600,2373120,
PLM-LUB-EP2,,DEFAULT,UA,UAH,28320,33984,
PLM-LUB-HLP46,,DEFAULT,UA,UAH,100800,120960,
PLM-CHM-BRAKE,,DEFAULT,UA,UAH,24480,29376,
PLM-TLS-TORQ,,DEFAULT,UA,UAH,595200,714240,
PLM-TLS-SOCK94,,DEFAULT,UA,UAH,907200,1088640,
PLM-ABR-FLAP125,,DEFAULT,UA,UAH,25920,31104,
PLM-TLS-IMPACT,,DEFAULT,UA,UAH,5664000,6796800,
PLM-WSC-WIPE,,DEFAULT,UA,UAH,90720,108864,
PLM-WSC-GLOVE,,DEFAULT,UA,UAH,59520,71424,
