sku,merchant_reference,is_shared
PLM-BRG-6204,MERPLM01,1
PLM-BRG-6308,MERPLM01,1
PLM-BRG-TAP32,MERPLM01,1
PLM-GBX-NMRV63,MERPLM01,1
PLM-FST-HEXM8,MERPLM02,1
PLM-FST-HEXM12,MERPLM02,1
PLM-FST-NUTM10,MERPLM02,1
PLM-FST-ANCHM10,MERPLM02,1
PLM-SEA-ORING,MERPLM03,1
PLM-SEA-SHAFT35,MERPLM03,1
PLM-HYD-CYL63,MERPLM03,1
PLM-LUB-EP2,MERPLM03,1
PLM-LUB-HLP46,MERPLM03,1
PLM-CHM-BRAKE,MERPLM03,1
PLM-TLS-TORQ,MERPLM02,1
PLM-TLS-SOCK94,MERPLM02,1
PLM-ABR-FLAP125,MERPLM02,1
PLM-TLS-IMPACT,MERPLM02,1
PLM-WSC-WIPE,MERPLM03,1
PLM-WSC-GLOVE,MERPLM03,1
