product_offer_reference,concrete_sku,merchant_reference,merchant_sku,is_active,approval_status
plm_offer_01,PLM-BRG-6204-01,MERPLM01,NW-6204-2RS,1,approved
plm_offer_02,PLM-BRG-6308-01,MERPLM01,NW-6308-2RS,1,approved
plm_offer_03,PLM-BRG-TAP32-01,MERPLM01,NW-32210,1,approved
plm_offer_04,PLM-GBX-NMRV63-01,MERPLM01,NW-NMRV63-20,1,approved
plm_offer_05,PLM-FST-HEXM8-030,MERPLM02,VT-933-M8-30,1,approved
plm_offer_06,PLM-FST-HEXM8-040,MERPLM02,VT-933-M8-40,1,approved
plm_offer_07,PLM-FST-HEXM8-050,MERPLM02,VT-933-M8-50,1,approved
plm_offer_08,PLM-FST-HEXM12-040,MERPLM02,VT-933-M12-40,1,approved
plm_offer_09,PLM-FST-HEXM12-060,MERPLM02,VT-933-M12-60,1,approved
plm_offer_10,PLM-FST-HEXM12-080,MERPLM02,VT-933-M12-80,1,approved
plm_offer_11,PLM-FST-NUTM10-01,MERPLM02,VT-934-M10-A4,1,approved
plm_offer_12,PLM-FST-ANCHM10-090,MERPLM02,VT-ANCH-M10-90,1,approved
plm_offer_13,PLM-FST-ANCHM10-115,MERPLM02,VT-ANCH-M10-115,1,approved
plm_offer_14,PLM-SEA-ORING-01,MERPLM03,KI-ORING-NBR70,1,approved
plm_offer_15,PLM-SEA-SHAFT35-355510,MERPLM03,KI-RSS-355510,1,approved
plm_offer_16,PLM-SEA-SHAFT35-406010,MERPLM03,KI-RSS-406010,1,approved
plm_offer_17,PLM-SEA-SHAFT35-456510,MERPLM03,KI-RSS-456510,1,approved
plm_offer_18,PLM-HYD-CYL63-200,MERPLM03,KI-CYL-6335-200,1,approved
plm_offer_19,PLM-HYD-CYL63-300,MERPLM03,KI-CYL-6335-300,1,approved
plm_offer_20,PLM-HYD-CYL63-400,MERPLM03,KI-CYL-6335-400,1,approved
plm_offer_21,PLM-LUB-EP2-01,MERPLM03,KI-EP2-400G,1,approved
plm_offer_22,PLM-LUB-HLP46-005,MERPLM03,KI-HLP46-5L,1,approved
plm_offer_23,PLM-LUB-HLP46-020,MERPLM03,KI-HLP46-20L,1,approved
plm_offer_24,PLM-LUB-HLP46-208,MERPLM03,KI-HLP46-208L,1,approved
plm_offer_25,PLM-CHM-BRAKE-01,MERPLM03,KI-BRAKECL-500,1,approved
plm_offer_26,PLM-TLS-TORQ-01,MERPLM02,VT-TORQ-200,1,approved
plm_offer_27,PLM-TLS-SOCK94-01,MERPLM02,VT-SOCK-94,1,approved
plm_offer_28,PLM-ABR-FLAP125-01,MERPLM02,VT-FLAP-125-60,1,approved
plm_offer_29,PLM-TLS-IMPACT-01,MERPLM02,VT-IMP-18V,1,approved
plm_offer_30,PLM-WSC-WIPE-01,MERPLM03,KI-WIPE-500,1,approved
plm_offer_31,PLM-WSC-GLOVE-M,MERPLM03,KI-GLOVE-M,1,approved
plm_offer_32,PLM-WSC-GLOVE-L,MERPLM03,KI-GLOVE-L,1,approved
plm_offer_33,PLM-WSC-GLOVE-XL,MERPLM03,KI-GLOVE-XL,1,approved
