abstract_sku,concrete_sku,name.en_US,name.pl_PL,name.uk_UA,description.en_US,description.pl_PL,description.uk_UA,is_searchable.en_US,is_searchable.pl_PL,is_searchable.uk_UA,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.en_US,attribute_key_1.pl_PL,attribute_key_1.uk_UA,value_1.en_US,value_1.pl_PL,value_1.uk_UA,is_active
PLM-BRG-6204,PLM-BRG-6204-01,Deep groove ball bearing 6204-2RS,Łożysko kulkowe zwykłe 6204-2RS,Радіальний шариковий підшипник 6204-2RS,Sealed 6204-2RS deep groove ball bearing with a 20 mm bore.,Uszczelnione łożysko kulkowe zwykłe 6204-2RS o średnicy wewnętrznej 20 mm.,Закритий радіальний шариковий підшипник 6204-2RS із внутрішнім діаметром 20 mm.,1,1,1,,1,size,20x47x14 mm,size,size,size,20x47x14 mm,20x47x14 mm,20x47x14 mm,1
PLM-BRG-6308,PLM-BRG-6308-01,Deep groove ball bearing 6308-2RS,Łożysko kulkowe zwykłe 6308-2RS,Радіальний шариковий підшипник 6308-2RS,Sealed 6308-2RS deep groove ball bearing with a 40 mm bore.,Uszczelnione łożysko kulkowe zwykłe 6308-2RS o średnicy wewnętrznej 40 mm.,Закритий радіальний шариковий підшипник 6308-2RS із внутрішнім діаметром 40 mm.,1,1,1,,1,size,40x90x23 mm,size,size,size,40x90x23 mm,40x90x23 mm,40x90x23 mm,1
PLM-BRG-TAP32,PLM-BRG-TAP32-01,Tapered roller bearing 32210,Łożysko stożkowe 32210,Конічний роликовий підшипник 32210,Single-row tapered roller bearing 32210 with a 50 mm bore.,Jednorzędowe łożysko stożkowe 32210 o średnicy wewnętrznej 50 mm.,Однорядний конічний роликовий підшипник 32210 із внутрішнім діаметром 50 mm.,1,1,1,,1,size,50x90x24.75 mm,size,size,size,50x90x24.75 mm,50x90x24.75 mm,50x90x24.75 mm,1
PLM-GBX-NMRV63,PLM-GBX-NMRV63-01,Worm gearbox NMRV63 ratio 20:1,Przekładnia ślimakowa NMRV63 przełożenie 20:1,Червячний редуктор NMRV63 передатне число 20:1,Aluminium worm gear reducer NMRV63 with a 20:1 reduction ratio.,Aluminiowa przekładnia ślimakowa NMRV63 z przełożeniem 20:1.,Алюмінієвий червячний редуктор NMRV63 із передатним числом 20:1.,1,1,1,,1,size,Centre height 63 mm,size,size,size,Centre height 63 mm,Wysokość osi 63 mm,Висота осі 63 mm,1
PLM-FST-HEXM8,PLM-FST-HEXM8-030,Hex bolt DIN 933 M8x30 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8x30 galwanizowana,Болт із шестигранною головкою DIN 933 M8x30 оцинкований,Zinc-plated DIN 933 hex bolt M8x30 class 8.8 in a pack of 100.,Galwanizowana śruba z łbem sześciokątnym DIN 933 M8x30 klasy 8.8 w opakowaniu 100 szt.,Оцинкований болт із шестигранною головкою DIN 933 M8x30 класу 8.8 в упаковці 100 шт.,1,1,1,,1,size,M8x30 mm,size,size,size,M8x30 mm,M8x30 mm,M8x30 mm,1
PLM-FST-HEXM8,PLM-FST-HEXM8-040,Hex bolt DIN 933 M8x40 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8x40 galwanizowana,Болт із шестигранною головкою DIN 933 M8x40 оцинкований,Zinc-plated DIN 933 hex bolt M8x40 class 8.8 in a pack of 100.,Galwanizowana śruba z łbem sześciokątnym DIN 933 M8x40 klasy 8.8 w opakowaniu 100 szt.,Оцинкований болт із шестигранною головкою DIN 933 M8x40 класу 8.8 в упаковці 100 шт.,1,1,1,,1,size,M8x40 mm,size,size,size,M8x40 mm,M8x40 mm,M8x40 mm,1
PLM-FST-HEXM8,PLM-FST-HEXM8-050,Hex bolt DIN 933 M8x50 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8x50 galwanizowana,Болт із шестигранною головкою DIN 933 M8x50 оцинкований,Zinc-plated DIN 933 hex bolt M8x50 class 8.8 in a pack of 100.,Galwanizowana śruba z łbem sześciokątnym DIN 933 M8x50 klasy 8.8 w opakowaniu 100 szt.,Оцинкований болт із шестигранною головкою DIN 933 M8x50 класу 8.8 в упаковці 100 шт.,1,1,1,,1,size,M8x50 mm,size,size,size,M8x50 mm,M8x50 mm,M8x50 mm,1
PLM-FST-HEXM12,PLM-FST-HEXM12-040,Hex bolt DIN 933 M12x40 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12x40 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12x40 нержавіючий A2,A2 stainless DIN 933 hex bolt M12x40 in a pack of 50.,Nierdzewna śruba z łbem sześciokątnym DIN 933 M12x40 A2 w opakowaniu 50 szt.,Нержавіючий болт із шестигранною головкою DIN 933 M12x40 A2 в упаковці 50 шт.,1,1,1,,1,size,M12x40 mm,size,size,size,M12x40 mm,M12x40 mm,M12x40 mm,1
PLM-FST-HEXM12,PLM-FST-HEXM12-060,Hex bolt DIN 933 M12x60 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12x60 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12x60 нержавіючий A2,A2 stainless DIN 933 hex bolt M12x60 in a pack of 50.,Nierdzewna śruba z łbem sześciokątnym DIN 933 M12x60 A2 w opakowaniu 50 szt.,Нержавіючий болт із шестигранною головкою DIN 933 M12x60 A2 в упаковці 50 шт.,1,1,1,,1,size,M12x60 mm,size,size,size,M12x60 mm,M12x60 mm,M12x60 mm,1
PLM-FST-HEXM12,PLM-FST-HEXM12-080,Hex bolt DIN 933 M12x80 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12x80 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12x80 нержавіючий A2,A2 stainless DIN 933 hex bolt M12x80 in a pack of 50.,Nierdzewna śruba z łbem sześciokątnym DIN 933 M12x80 A2 w opakowaniu 50 szt.,Нержавіючий болт із шестигранною головкою DIN 933 M12x80 A2 в упаковці 50 шт.,1,1,1,,1,size,M12x80 mm,size,size,size,M12x80 mm,M12x80 mm,M12x80 mm,1
PLM-FST-NUTM10,PLM-FST-NUTM10-01,Hex nut DIN 934 M10 stainless A4,Nakrętka sześciokątna DIN 934 M10 nierdzewna A4,Гайка шестигранна DIN 934 M10 нержавіюча A4,A4 marine-grade stainless DIN 934 hex nut M10 in a pack of 100.,Nakrętka sześciokątna DIN 934 M10 ze stali nierdzewnej A4 klasy morskiej w opakowaniu 100 szt.,Гайка шестигранна DIN 934 M10 з нержавіючої сталі A4 морського класу в упаковці 100 шт.,1,1,1,,1,size,M10,size,size,size,M10,M10,M10,1
PLM-FST-ANCHM10,PLM-FST-ANCHM10-090,Through-bolt anchor M10x90,Kotwa przelotowa M10x90,Наскрізний анкерний болт M10x90,Zinc-plated M10x90 through-bolt concrete anchor in a pack of 10.,Galwanizowana kotwa przelotowa do betonu M10x90 w opakowaniu 10 szt.,Оцинкований наскрізний анкерний болт для бетону M10x90 в упаковці 10 шт.,1,1,1,,1,size,M10x90 mm,size,size,size,M10x90 mm,M10x90 mm,M10x90 mm,1
PLM-FST-ANCHM10,PLM-FST-ANCHM10-115,Through-bolt anchor M10x115,Kotwa przelotowa M10x115,Наскрізний анкерний болт M10x115,Zinc-plated M10x115 through-bolt concrete anchor in a pack of 10.,Galwanizowana kotwa przelotowa do betonu M10x115 w opakowaniu 10 szt.,Оцинкований наскрізний анкерний болт для бетону M10x115 в упаковці 10 шт.,1,1,1,,1,size,M10x115 mm,size,size,size,M10x115 mm,M10x115 mm,M10x115 mm,1
PLM-SEA-ORING,PLM-SEA-ORING-01,O-ring assortment NBR 70 metric,Zestaw oringów NBR 70 metryczny,Набір гумових кілець NBR 70 метричний,Sorted metric NBR 70 O-ring assortment in a compartmented case.,Posortowany zestaw oringów metrycznych NBR 70 w kasecie z przegrodami.,Сортований набір метричних гумових кілець NBR 70 у кейсі з відділеннями.,1,1,1,,1,size,Assorted metric,size,size,size,Assorted metric,Zestaw metryczny,Метричний набір,1
PLM-SEA-SHAFT35,PLM-SEA-SHAFT35-355510,Rotary shaft seal 35x55x10 NBR,Pierścień uszczelniający wału 35x55x10 NBR,Манжета вала 35x55x10 NBR,NBR spring-loaded rotary shaft seal for a 35 mm shaft.,Pierścień uszczelniający wału NBR ze sprężyną do wału 35 mm.,Манжета вала NBR із пружиною для вала 35 mm.,1,1,1,,1,size,35x55x10 mm,size,size,size,35x55x10 mm,35x55x10 mm,35x55x10 mm,1
PLM-SEA-SHAFT35,PLM-SEA-SHAFT35-406010,Rotary shaft seal 40x60x10 NBR,Pierścień uszczelniający wału 40x60x10 NBR,Манжета вала 40x60x10 NBR,NBR spring-loaded rotary shaft seal for a 40 mm shaft.,Pierścień uszczelniający wału NBR ze sprężyną do wału 40 mm.,Манжета вала NBR із пружиною для вала 40 mm.,1,1,1,,1,size,40x60x10 mm,size,size,size,40x60x10 mm,40x60x10 mm,40x60x10 mm,1
PLM-SEA-SHAFT35,PLM-SEA-SHAFT35-456510,Rotary shaft seal 45x65x10 NBR,Pierścień uszczelniający wału 45x65x10 NBR,Манжета вала 45x65x10 NBR,NBR spring-loaded rotary shaft seal for a 45 mm shaft.,Pierścień uszczelniający wału NBR ze sprężyną do wału 45 mm.,Манжета вала NBR із пружиною для вала 45 mm.,1,1,1,,1,size,45x65x10 mm,size,size,size,45x65x10 mm,45x65x10 mm,45x65x10 mm,1
PLM-HYD-CYL63,PLM-HYD-CYL63-200,Hydraulic cylinder 63/35x200,Siłownik hydrauliczny 63/35x200,Гідроцилінд 63/35x200,Double-acting hydraulic cylinder 63/35 with a 200 mm stroke.,Siłownik hydrauliczny dwustronnego działania 63/35 ze skokiem 200 mm.,Гідроцилінд двосторонньої дії 63/35 із ходом 200 mm.,1,1,1,,1,size,200 mm stroke,size,size,size,200 mm stroke,Skok 200 mm,Хід 200 mm,1
PLM-HYD-CYL63,PLM-HYD-CYL63-300,Hydraulic cylinder 63/35x300,Siłownik hydrauliczny 63/35x300,Гідроцилінд 63/35x300,Double-acting hydraulic cylinder 63/35 with a 300 mm stroke.,Siłownik hydrauliczny dwustronnego działania 63/35 ze skokiem 300 mm.,Гідроцилінд двосторонньої дії 63/35 із ходом 300 mm.,1,1,1,,1,size,300 mm stroke,size,size,size,300 mm stroke,Skok 300 mm,Хід 300 mm,1
PLM-HYD-CYL63,PLM-HYD-CYL63-400,Hydraulic cylinder 63/35x400,Siłownik hydrauliczny 63/35x400,Гідроцилінд 63/35x400,Double-acting hydraulic cylinder 63/35 with a 400 mm stroke.,Siłownik hydrauliczny dwustronnego działania 63/35 ze skokiem 400 mm.,Гідроцилінд двосторонньої дії 63/35 із ходом 400 mm.,1,1,1,,1,size,400 mm stroke,size,size,size,400 mm stroke,Skok 400 mm,Хід 400 mm,1
PLM-LUB-EP2,PLM-LUB-EP2-01,Lithium EP2 grease 400 g cartridge,Smar litowy EP2 kartusz 400 g,Літієве мастило EP2 картридж 400 g,Lithium EP2 multipurpose grease NLGI 2 in a 400 g cartridge.,Litowy smar wielofunkcyjny EP2 NLGI 2 w kartuszu 400 g.,Літієве універсальне мастило EP2 NLGI 2 у картриджі 400 g.,1,1,1,,1,size,400 g,size,size,size,400 g,400 g,400 g,1
PLM-LUB-HLP46,PLM-LUB-HLP46-005,Hydraulic oil HLP 46 5 litre,Olej hydrauliczny HLP 46 5 litrów,Гідравлічна олива HLP 46 5 літрів,Mineral hydraulic oil HLP ISO VG 46 in a 5 litre canister.,Mineralny olej hydrauliczny HLP ISO VG 46 w kanistrze 5 litrów.,Мінеральна гідравлічна олива HLP ISO VG 46 у каністрі 5 літрів.,1,1,1,,1,size,5 litre,size,size,size,5 litre,5 litrów,5 літрів,1
PLM-LUB-HLP46,PLM-LUB-HLP46-020,Hydraulic oil HLP 46 20 litre,Olej hydrauliczny HLP 46 20 litrów,Гідравлічна олива HLP 46 20 літрів,Mineral hydraulic oil HLP ISO VG 46 in a 20 litre canister.,Mineralny olej hydrauliczny HLP ISO VG 46 w kanistrze 20 litrów.,Мінеральна гідравлічна олива HLP ISO VG 46 у каністрі 20 літрів.,1,1,1,,1,size,20 litre,size,size,size,20 litre,20 litrów,20 літрів,1
PLM-LUB-HLP46,PLM-LUB-HLP46-208,Hydraulic oil HLP 46 208 litre,Olej hydrauliczny HLP 46 208 litrów,Гідравлічна олива HLP 46 208 літрів,Mineral hydraulic oil HLP ISO VG 46 in a 208 litre drum.,Mineralny olej hydrauliczny HLP ISO VG 46 w beczce 208 litrów.,Мінеральна гідравлічна олива HLP ISO VG 46 у бочці 208 літрів.,1,1,1,,1,size,208 litre,size,size,size,208 litre,208 litrów,208 літрів,1
