image_set_name,external_url_large,external_url_small,locale,abstract_sku,concrete_sku,sort_order,product_image_key,product_image_set_key,alt_text_small.en_US,alt_text_small.pl_PL,alt_text_small.uk_UA,alt_text_large.en_US,alt_text_large.pl_PL,alt_text_large.uk_UA
default,/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,en_US,PLM-BRG-6204,,0,plm_img_01,,Deep groove ball bearing 6204-2RS,Łożysko kulkowe zwykłe 6204-2RS,Радіальний шариковий підшипник 6204-2RS,Deep groove ball bearing 6204-2RS,Łożysko kulkowe zwykłe 6204-2RS,Радіальний шариковий підшипник 6204-2RS
default,/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,en_US,PLM-BRG-6308,,0,plm_img_02,,Deep groove ball bearing 6308-2RS,Łożysko kulkowe zwykłe 6308-2RS,Радіальний шариковий підшипник 6308-2RS,Deep groove ball bearing 6308-2RS,Łożysko kulkowe zwykłe 6308-2RS,Радіальний шариковий підшипник 6308-2RS
default,/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,en_US,PLM-BRG-TAP32,,0,plm_img_03,,Tapered roller bearing 32210,Łożysko stożkowe 32210,Конічний роликовий підшипник 32210,Tapered roller bearing 32210,Łożysko stożkowe 32210,Конічний роликовий підшипник 32210
default,/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,en_US,PLM-GBX-NMRV63,,0,plm_img_04,,Worm gearbox NMRV63,Przekładnia ślimakowa NMRV63,Червячний редуктор NMRV63,Worm gearbox NMRV63,Przekładnia ślimakowa NMRV63,Червячний редуктор NMRV63
default,/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,en_US,PLM-FST-HEXM8,,0,plm_img_05,,Hex bolt DIN 933 M8 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8 galwanizowana,Болт із шестигранною головкою DIN 933 M8 оцинкований,Hex bolt DIN 933 M8 zinc-plated,Śruba z łbem sześciokątnym DIN 933 M8 galwanizowana,Болт із шестигранною головкою DIN 933 M8 оцинкований
default,/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,en_US,PLM-FST-HEXM12,,0,plm_img_06,,Hex bolt DIN 933 M12 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12 нержавіючий A2,Hex bolt DIN 933 M12 stainless A2,Śruba z łbem sześciokątnym DIN 933 M12 nierdzewna A2,Болт із шестигранною головкою DIN 933 M12 нержавіючий A2
default,/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,en_US,PLM-FST-NUTM10,,0,plm_img_07,,Hex nut DIN 934 M10 stainless A4,Nakrętka sześciokątna DIN 934 M10 nierdzewna A4,Гайка шестигранна DIN 934 M10 нержавіюча A4,Hex nut DIN 934 M10 stainless A4,Nakrętka sześciokątna DIN 934 M10 nierdzewna A4,Гайка шестигранна DIN 934 M10 нержавіюча A4
default,/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,en_US,PLM-FST-ANCHM10,,0,plm_img_08,,Through-bolt anchor M10,Kotwa przelotowa M10,Наскрізний анкерний болт M10,Through-bolt anchor M10,Kotwa przelotowa M10,Наскрізний анкерний болт M10
default,/assets/static/images/catalog/seals-fluid-power.png,/assets/static/images/catalog/seals-fluid-power.png,en_US,PLM-SEA-ORING,,0,plm_img_09,,O-ring assortment NBR 70,Zestaw oringów NBR 70,Набір гумових кілець NBR 70,O-ring assortment NBR 70,Zestaw oringów NBR 70,Набір гумових кілець NBR 70
default,/assets/static/images/catalog/seals-fluid-power.png,/assets/static/images/catalog/seals-fluid-power.png,en_US,PLM-SEA-SHAFT35,,0,plm_img_10,,Rotary shaft seal metric NBR,Pierścień uszczelniający wału metryczny NBR,Манжета вала метрична NBR,Rotary shaft seal metric NBR,Pierścień uszczelniający wału metryczny NBR,Манжета вала метрична NBR
default,/assets/static/images/catalog/seals-fluid-power.png,/assets/static/images/catalog/seals-fluid-power.png,en_US,PLM-HYD-CYL63,,0,plm_img_11,,Hydraulic cylinder 63/35 double-acting,Siłownik hydrauliczny 63/35 dwustronnego działania,Гідроцилінд 63/35 двосторонньої дії,Hydraulic cylinder 63/35 double-acting,Siłownik hydrauliczny 63/35 dwustronnego działania,Гідроцилінд 63/35 двосторонньої дії
default,/assets/static/images/catalog/lubricants-chemicals.png,/assets/static/images/catalog/lubricants-chemicals.png,en_US,PLM-LUB-EP2,,0,plm_img_12,,Lithium EP2 grease 400 g cartridge,Smar litowy EP2 kartusz 400 g,Літієве мастило EP2 картридж 400 g,Lithium EP2 grease 400 g cartridge,Smar litowy EP2 kartusz 400 g,Літієве мастило EP2 картридж 400 g
default,/assets/static/images/catalog/lubricants-chemicals.png,/assets/static/images/catalog/lubricants-chemicals.png,en_US,PLM-LUB-HLP46,,0,plm_img_13,,Hydraulic oil HLP 46,Olej hydrauliczny HLP 46,Гідравлічна олива HLP 46,Hydraulic oil HLP 46,Olej hydrauliczny HLP 46,Гідравлічна олива HLP 46
default,/assets/static/images/catalog/lubricants-chemicals.png,/assets/static/images/catalog/lubricants-chemicals.png,en_US,PLM-CHM-BRAKE,,0,plm_img_14,,Brake and parts cleaner 500 ml,Zmywacz do hamulców i części 500 ml,Очищувач гальм і деталей 500 ml,Brake and parts cleaner 500 ml,Zmywacz do hamulców i części 500 ml,Очищувач гальм і деталей 500 ml
default,/assets/static/images/catalog/tools-abrasives.png,/assets/static/images/catalog/tools-abrasives.png,en_US,PLM-TLS-TORQ,,0,plm_img_15,,Torque wrench 40-200 Nm,Klucz dynamometryczny 40-200 Nm,Динамометричний ключ 40-200 Nm,Torque wrench 40-200 Nm,Klucz dynamometryczny 40-200 Nm,Динамометричний ключ 40-200 Nm
default,/assets/static/images/catalog/tools-abrasives.png,/assets/static/images/catalog/tools-abrasives.png,en_US,PLM-TLS-SOCK94,,0,plm_img_16,,Socket set 94 pieces,Zestaw nasadek 94 elementy,Набір головок 94 елементи,Socket set 94 pieces,Zestaw nasadek 94 elementy,Набір головок 94 елементи
default,/assets/static/images/catalog/tools-abrasives.png,/assets/static/images/catalog/tools-abrasives.png,en_US,PLM-ABR-FLAP125,,0,plm_img_17,,Flap disc 125 mm P60 zirconia,Dysk lamelkowy 125 mm P60 cyrkonowy,Пелюстковий круг 125 mm P60 цирконієвий,Flap disc 125 mm P60 zirconia,Dysk lamelkowy 125 mm P60 cyrkonowy,Пелюстковий круг 125 mm P60 цирконієвий
default,/assets/static/images/catalog/tools-abrasives.png,/assets/static/images/catalog/tools-abrasives.png,en_US,PLM-TLS-IMPACT,,0,plm_img_18,,Cordless impact wrench 18 V,Akumulatorowy klucz udarowy 18 V,Акумуляторний гайковерт 18 V,Cordless impact wrench 18 V,Akumulatorowy klucz udarowy 18 V,Акумуляторний гайковерт 18 V
default,/assets/static/images/catalog/workshop-consumables.png,/assets/static/images/catalog/workshop-consumables.png,en_US,PLM-WSC-WIPE,,0,plm_img_19,,Industrial wiping roll 2-ply,Czyściwo przemysłowe w rolce 2-warstwowe,Промисловий протиральний рулон 2-шаровий,Industrial wiping roll 2-ply,Czyściwo przemysłowe w rolce 2-warstwowe,Промисловий протиральний рулон 2-шаровий
default,/assets/static/images/catalog/workshop-consumables.png,/assets/static/images/catalog/workshop-consumables.png,en_US,PLM-WSC-GLOVE,,0,plm_img_20,,Nitrile disposable gloves,Rękawice nitrylowe jednorazowe,Нітрилові одноразові рукавички,Nitrile disposable gloves,Rękawice nitrylowe jednorazowe,Нітрилові одноразові рукавички
