concrete_sku,name,quantity,is_never_out_of_stock,is_bundle
PLM-BRG-6204-01,Warehouse1,420,0,
PLM-BRG-6308-01,Warehouse1,180,0,
PLM-BRG-TAP32-01,Warehouse1,95,0,
PLM-GBX-NMRV63-01,Warehouse1,24,0,
PLM-FST-HEXM8-030,Warehouse1,650,0,
PLM-FST-HEXM8-040,Warehouse1,720,0,
PLM-FST-HEXM8-050,Warehouse1,480,0,
PLM-FST-HEXM12-040,Warehouse1,310,0,
PLM-FST-HEXM12-060,Warehouse1,265,0,
PLM-FST-HEXM12-080,Warehouse1,140,0,
PLM-FST-NUTM10-01,Warehouse1,880,0,
PLM-FST-ANCHM10-090,Warehouse1,240,0,
PLM-FST-ANCHM10-115,Warehouse1,160,0,
PLM-SEA-ORING-01,Warehouse1,75,0,
PLM-SEA-SHAFT35-355510,Warehouse1,340,0,
PLM-SEA-SHAFT35-406010,Warehouse1,290,0,
PLM-SEA-SHAFT35-456510,Warehouse1,210,0,
PLM-HYD-CYL63-200,Warehouse1,18,0,
PLM-HYD-CYL63-300,Warehouse1,12,0,
PLM-HYD-CYL63-400,Warehouse1,9,0,
PLM-LUB-EP2-01,Warehouse1,540,0,
PLM-LUB-HLP46-005,Warehouse1,210,0,
PLM-LUB-HLP46-020,Warehouse1,130,0,
PLM-LUB-HLP46-208,Warehouse1,16,0,
PLM-CHM-BRAKE-01,Warehouse1,600,0,
PLM-TLS-TORQ-01,Warehouse1,45,0,
PLM-TLS-SOCK94-01,Warehouse1,38,0,
PLM-ABR-FLAP125-01,Warehouse1,410,0,
PLM-TLS-IMPACT-01,Warehouse1,22,0,
PLM-WSC-WIPE-01,Warehouse1,260,0,
PLM-WSC-GLOVE-M,Warehouse1,350,0,
PLM-WSC-GLOVE-L,Warehouse1,480,0,
PLM-WSC-GLOVE-XL,Warehouse1,290,0,
PLM-BRG-6204-01,Warehouse2,420,0,
PLM-BRG-6308-01,Warehouse2,180,0,
PLM-BRG-TAP32-01,Warehouse2,95,0,
PLM-GBX-NMRV63-01,Warehouse2,24,0,
PLM-FST-HEXM8-030,Warehouse2,650,0,
PLM-FST-HEXM8-040,Warehouse2,720,0,
PLM-FST-HEXM8-050,Warehouse2,480,0,
PLM-FST-HEXM12-040,Warehouse2,310,0,
PLM-FST-HEXM12-060,Warehouse2,265,0,
PLM-FST-HEXM12-080,Warehouse2,140,0,
PLM-FST-NUTM10-01,Warehouse2,880,0,
PLM-FST-ANCHM10-090,Warehouse2,240,0,
PLM-FST-ANCHM10-115,Warehouse2,160,0,
PLM-SEA-ORING-01,Warehouse2,75,0,
PLM-SEA-SHAFT35-355510,Warehouse2,340,0,
PLM-SEA-SHAFT35-406010,Warehouse2,290,0,
PLM-SEA-SHAFT35-456510,Warehouse2,210,0,
PLM-HYD-CYL63-200,Warehouse2,18,0,
PLM-HYD-CYL63-300,Warehouse2,12,0,
PLM-HYD-CYL63-400,Warehouse2,9,0,
PLM-LUB-EP2-01,Warehouse2,540,0,
PLM-LUB-HLP46-005,Warehouse2,210,0,
PLM-LUB-HLP46-020,Warehouse2,130,0,
PLM-LUB-HLP46-208,Warehouse2,16,0,
PLM-CHM-BRAKE-01,Warehouse2,600,0,
PLM-TLS-TORQ-01,Warehouse2,45,0,
PLM-TLS-SOCK94-01,Warehouse2,38,0,
PLM-ABR-FLAP125-01,Warehouse2,410,0,
PLM-TLS-IMPACT-01,Warehouse2,22,0,
PLM-WSC-WIPE-01,Warehouse2,260,0,
PLM-WSC-GLOVE-M,Warehouse2,350,0,
PLM-WSC-GLOVE-L,Warehouse2,480,0,
PLM-WSC-GLOVE-XL,Warehouse2,290,0,
