block_key,block_name,template_name,template_path,active,placeholder.title.en_US,placeholder.title.pl_PL,placeholder.title.uk_UA,placeholder.content.en_US,placeholder.content.pl_PL,placeholder.content.uk_UA,placeholder.imageUrl.en_US,placeholder.imageUrl.pl_PL,placeholder.imageUrl.uk_UA,placeholder.link.en_US,placeholder.link.pl_PL,placeholder.link.uk_UA
plm-home-hero,"Pellumbra home carousel","Jumbotron Block",@CmsBlock/template/jumbotron_block.twig,1,,,,"{{ content_banner('plm-br-1', 'home-page') }}{{ content_banner('plm-br-2', 'home-page') }}","{{ content_banner('plm-br-1', 'home-page') }}{{ content_banner('plm-br-2', 'home-page') }}","{{ content_banner('plm-br-1', 'home-page') }}{{ content_banner('plm-br-2', 'home-page') }}",,,,,,
blck-nav-desktop,"CMS block for the main navigation desktop","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}","{{ content_navigation('navigation-main-desktop', 'navigation-header') }}",,,,,,
blck-nav-mobile,"CMS block for the main navigation mobile","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-main-mobile', 'navigation-header') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header') }}","{{ content_navigation('navigation-main-mobile', 'navigation-header') }}",,,,,,
blck-nav-footer-1,"CMS block for the footer partners","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-partners', 'footer-partners') }}","{{ content_navigation('navigation-partners', 'footer-partners') }}","{{ content_navigation('navigation-partners', 'footer-partners') }}",,,,,,
blck-nav-footer-2,"CMS block for the footer navigation","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-footer-categories', 'navigation-footer') }}{{ content_navigation('navigation-footer-brands', 'navigation-footer') }}{{ content_navigation('navigation-footer', 'navigation-footer') }}","{{ content_navigation('navigation-footer-categories', 'navigation-footer') }}{{ content_navigation('navigation-footer-brands', 'navigation-footer') }}{{ content_navigation('navigation-footer', 'navigation-footer') }}","{{ content_navigation('navigation-footer-categories', 'navigation-footer') }}{{ content_navigation('navigation-footer-brands', 'navigation-footer') }}{{ content_navigation('navigation-footer', 'navigation-footer') }}",,,,,,
blck-nav-footer-3,"CMS block for the footer social links","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-social-links', 'footer-social-links') }}","{{ content_navigation('navigation-social-links', 'footer-social-links') }}","{{ content_navigation('navigation-social-links', 'footer-social-links') }}",,,,,,
blck-nav-footer-4,"CMS block for the footer navigation on checkout","Navigation block",@CmsBlock/template/navigation_block.twig,1,,,,"{{ content_navigation('navigation-footer', 'navigation-footer-checkout') }}","{{ content_navigation('navigation-footer', 'navigation-footer-checkout') }}","{{ content_navigation('navigation-footer', 'navigation-footer-checkout') }}",,,,,,
plm-featured,"Pellumbra featured products","Section block",@CmsBlock/template/section_block.twig,1,"<h2 class='section__title section__title--secondary'>Featured products</h2>","<h2 class='section__title section__title--secondary'>Polecane produkty</h2>","<h2 class='section__title section__title--secondary'>Рекомендовані товари</h2>","<p class='section__sub-title'>A cross-section of the range - bearings, fasteners, seals, lubricants, tools and consumables.</p> {{ content_product_abstract_list('plm-apl-1', 'slider') }}","<p class='section__sub-title'>Przegląd asortymentu - łożyska, elementy złączne, uszczelnienia, smary, narzędzia i materiały eksploatacyjne.</p> {{ content_product_abstract_list('plm-apl-1', 'slider') }}","<p class='section__sub-title'>Огляд асортименту - підшипники, кріплення, ущільнення, мастила, інструменти та розхідні матеріали.</p> {{ content_product_abstract_list('plm-apl-1', 'slider') }}",,,,,,
plm-bestsellers,"Pellumbra best sellers","Section block",@CmsBlock/template/section_block.twig,1,"<h2 class='section__title section__title--secondary'>Best sellers</h2>","<h2 class='section__title section__title--secondary'>Najczęściej kupowane</h2>","<h2 class='section__title section__title--secondary'>Найпопулярніші товари</h2>","<p class='section__sub-title'>The parts maintenance teams reorder most often.</p> {{ content_product_abstract_list('plm-apl-2', 'slider') }}","<p class='section__sub-title'>Części, które działy utrzymania ruchu zamawiają najczęściej.</p> {{ content_product_abstract_list('plm-apl-2', 'slider') }}","<p class='section__sub-title'>Деталі, які служби обслуговування замовляють найчастіше.</p> {{ content_product_abstract_list('plm-apl-2', 'slider') }}",,,,,,
plm-banner-1,"Pellumbra category banner","Banner block",@CmsBlock/template/banner_block.twig,1,"<h2 class='section__title section__title--secondary'>Featured categories</h2><p class='section__sub-title'>Start from the two ranges that cover most maintenance and production sourcing.</p>","<h2 class='section__title section__title--secondary'>Polecane kategorie</h2><p class='section__sub-title'>Zacznij od dwóch grup, które pokrywają większość potrzeb utrzymania ruchu i produkcji.</p>","<h2 class='section__title section__title--secondary'>Рекомендовані категорії</h2><p class='section__sub-title'>Почніть із двох груп, що покривають більшість потреб обслуговування та виробництва.</p>","<p class='banner__label'>Featured</p><div class='banner__title-group'><h3 class='banner__title'>Bearings and transmission</h3><p class='banner__text'>Deep groove and tapered roller bearings, worm gear reducers and the seals that go with them - stocked in the common metric sizes for drivetrain repair and planned maintenance.</p></div><ul class='banner__badges'><li class='banner__badge'>Bearings</li><li class='banner__badge'>Gearboxes</li><li class='banner__badge'>Seals</li></ul>","<p class='banner__label'>Polecane</p><div class='banner__title-group'><h3 class='banner__title'>Łożyska i napędy</h3><p class='banner__text'>Łożyska kulkowe i stożkowe, przekładnie ślimakowe oraz pasujące do nich uszczelnienia - dostępne w typowych rozmiarach metrycznych do napraw napędów i planowanych przeglądów.</p></div><ul class='banner__badges'><li class='banner__badge'>Łożyska</li><li class='banner__badge'>Przekładnie</li><li class='banner__badge'>Uszczelnienia</li></ul>","<p class='banner__label'>Рекомендовані</p><div class='banner__title-group'><h3 class='banner__title'>Підшипники та приводи</h3><p class='banner__text'>Радіальні та конічні підшипники, червячні редуктори й відповідні ущільнення - на складі в поширених метричних розмірах для ремонту приводів і планового обслуговування.</p></div><ul class='banner__badges'><li class='banner__badge'>Підшипники</li><li class='banner__badge'>Редуктори</li><li class='banner__badge'>Ущільнення</li></ul>",/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,/assets/static/images/catalog/bearings-transmission.png,/en/mechanical-components/bearings-&-transmission,/pl/komponenty-mechaniczne/łożyska-i-napędy,/uk/механічні-компоненти/підшипники-та-приводи
plm-grid-1,"Pellumbra grid banner plm-grid-1","Banner grid column block",@CmsBlock/template/banner_grid_column_block.twig,1,"<div class=""banner__title"">Fasteners</div>","<div class=""banner__title"">Elementy złączne</div>","<div class=""banner__title"">Кріпильні елементи</div>","<div class=""banner__text"">Bolts, nuts and anchors in zinc-plated, A2 and A4 stainless - in workshop packs.</div>","<div class=""banner__text"">Śruby, nakrętki i kotwy galwanizowane oraz ze stali A2 i A4 - w opakowaniach warsztatowych.</div>","<div class=""banner__text"">Болти, гайки та анкери оцинковані й із нержавіючої сталі A2 та A4 - в упаковках для майстерні.</div>",/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,/assets/static/images/catalog/fasteners.png,/en/mechanical-components/fasteners,/pl/komponenty-mechaniczne/elementy-złączne,/uk/механічні-компоненти/кріпильні-елементи
