company_key,business_unit_key,name,email,phone,external_url,iban,bic,parent_business_unit_key
test-company,test-business-unit-1,Hotel Tommy Berlin,test+test-business-unit-1@acme.com,1234567890,"",test iban,test bic,""
test-company,test-business-unit-2,Hotel Tommy London,test+test-business-unit-2@acme.com,1234567890,"","","",""
test-company,test-business-unit-3,Hotel Tommy Zürich,test+test-business-unit-3@acme.com,1234567890,"","","",""
trial-company,trial-bus-unit-1,Trial Management unit,trial-bus-unit-1@acme.com,1234567890,"","","",""
trial-company,trial-bus-unit-2,Trial Buying unit,trial-bus-unit-2@acme.com,1234567890,"","","",""
trial-company,trial-bus-unit-3,Trial Delivery unit,trial-bus-unit-3@acme.com,1234567890,"","","",""
proof-company,proof-bus-unit-1,Proof Restaurant,proof-bus-unit-1@acme.com,1234567890,"","","",""
proof-company,proof-bus-unit-2,Proof Bar,proof-bus-unit-2@acme.com,1234567890,"","","",""
proof-company,proof-bus-unit-3,Proof Cleaning,proof-bus-unit-3@acme.com,1234567890,"","","",""
BoB-Hotel-Jim,business-unit-jim-1,Restaurant Jim,Restaurant.Jim@acme.com,12345617,"","","",""
BoB-Hotel-Jim,business-unit-jim-2,Bar Jim,Bar.Jim@acme.com,12345617,"","","",
BoB-Hotel-Kudamm,business-unit-kudamm-1,Management Ku'damm,Management.Kudamm@acme.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-1,Hotel Mitte,Hotel.Mitte@acme.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-2,Service Mitte,Service.Mitte@acme.com,12345617,"","","",
BoB-Hotel-Mitte,business-unit-mitte-3,Cleaning Mitte,Cleaning.Mitte@acme.com,12345617,"","","",
BoB-Regular,business-unit-regular-1,Business unit Regular,Business.unit.Regular@acme.com,12345617,"","","",
Ottom_ltd,Ottom_HQ,Ottom HQ,Ottom_HQ@ottom.com,4908892450,"","","",""
Ottom_ltd,Sales_Department,Sales department,Sales_Department@ottom.com,4908892455,"","","",Ottom_HQ
Ottom_ltd,Supplier_Department,Supplier deparment,Supplier_Department@ottom.com,4908892455,"","","",Ottom_HQ
Ottom_ltd,Ottom_store_Berlin,Ottom store Berlin,Ottom_store_Berlin@ottom.com,4908892452,"","","",Sales_Department
Ottom_ltd,Ottom_store_Oslo,Ottom store Oslo,Ottom_store_Oslo@ottom.com,4708892453,"","","",Sales_Department
Ottom_ltd,Ottom_store_London,Ottom store London,Ottom_store_London@ottom.com,4408892454,"","","",Sales_Department
acme_corporation,acme_corporation_HQ,Acme Corporation,HQ@acme.com,4902890001,"","","",""
acme_corporation,acme_corporation_Barcelona,Acme Corporation Barcelona,Barcelona@acme.com,3490284322,"","","",acme_corporation_HQ
acme_corporation,acme_corporation_Zurich,Acme Corporation Zurich,Zurich@acme.com,4102890118,"","","",acme_corporation_HQ
acme_corporation,acme_corporation_Zurich_Sales,Acme Corporation Zurich Sales,Zurich_sales@acme.com,4102890119,"","","",acme_corporation_Zurich
acme_corporation,acme_corporation_Zurich_Support,Acme Corporation Zurich Support ,Zurich_support@acme.com,4102890120,"","","",acme_corporation_Zurich
acme_corporation,acme_corporation_Berlin,Acme Corporation Berlin,Berlin@acme.com,4902890021,"","","",acme_corporation_HQ
acme_corporation,acme_corporation_HR,Acme Corporation HR department,HR@acme.com,4902890031,"","","",acme_corporation_HQ
restricted-company-1,BU-IT-no-tablets,IT no tablets,notablets@acme.com,1234567890,"","","",""
restricted-company-1,BU-IT-no-ASUS,IT no ASUS,noasus@acme.com,1234567890,"","","",""
restricted-company-1,BU-IT-only-wearables,IT wearables,wearables@acme.com,1234567890,"","","",""
restricted-company-2,Sales-under-400,Sales on a Budget,salesbudget@acme.com,1234567890,"","","",""
restricted-company-2,Sales,Sales,sales@acme.com,1234567890,"","","",""
