key,translation,locale
cart.remove.items.success,Produkty zostały pomyślnie usunięte,pl_PL
cart.add.items.success,Pozycje zostały pomyślnie dodane,pl_PL
cart.add.items.error.text,Coś poszło nie tak. Przepraszamy.,pl_PL
cart.your-order,Twoje zamówienie,pl_PL
cart.price,Cena,pl_PL
cart.shipping.order-item,+ Dostawa,pl_PL
cart.shipping,Dostawa,pl_PL
cart.total,Suma,pl_PL
cart.checkout,Kasa,pl_PL
cart.empty,Twój koszyk jest pusty!,pl_PL
cart.cart,Koszyk,pl_PL
cart.total.discount,Rabat,pl_PL
cart.vouchers,Kody rabatowe,pl_PL
cart.discounts,Rabaty,pl_PL
cart.item_quantity,Ilość,pl_PL
cart.item_attributes_needed,Wybierz więcej atrybutów,pl_PL
cart.voucher.redeem,Wykorzystaj kod,pl_PL
cart.price.subtotal,Suma częściowa,pl_PL
cart.price.grand.total,Suma całkowita,pl_PL
cart.total.tax_total,Podatek,pl_PL
cart.total.tax_total.calculated_at_checkout,obliczane w kasie,pl_PL
cart.delete.item,Usuń,pl_PL
cart.sales-order-threshold,Minimalna wartość zamówienia,pl_PL
cart.title.available_discounts,Dostępne rabaty,pl_PL
checkout.sales-order-threshold,Minimalna wartość zamówienia,pl_PL
sales-order-threshold.expense.name,Dopłata,pl_PL
sales-order-threshold.strategy.soft-minimum-threshold-fixed-fee,Dopłata,pl_PL
sales-order-threshold.strategy.soft-minimum-threshold-flexible-fee,Dopłata,pl_PL
auth.login,Zarejestruj się,pl_PL
auth.password,Hasło,pl_PL
auth.password-forgot,Nie pamiętasz?,pl_PL
auth.email,E-mail,pl_PL
auth.register,Zarejestruj się,pl_PL
auth.im-new-customer,Nowy klient,pl_PL
auth.im-already-customer,Mam już konto,pl_PL
navigation.menu.categories,Kategorie,pl_PL
navigation.menu.have-a-look,Warto zobaczyć,pl_PL
navigation.browse_by_category,Przeglądaj według kategorii,pl_PL
navigation.show_all,Pokaż wszystko,pl_PL
navigation.all_prefix,Wszystko,pl_PL
page.checkout.errors,Sprawdź wprowadzone dane.,pl_PL
page.checkout.client.existing,Istniejący klient,pl_PL
page.checkout.client.new,Nowy klient,pl_PL
customer.password,Hasło,pl_PL
password.confirm,Potwierdź hasło,pl_PL
page.checkout.address.heading,1. Dane adresowe,pl_PL
page.checkout.address.name,Nazwa,pl_PL
page.checkout.address.billing-address,Adres rozliczeniowy,pl_PL
page.checkout.address.billing-isnt-shipping-address,Inny adres dostawy,pl_PL
page.checkout.address.shipping-address,Adres dostawy,pl_PL
page.checkout.address.address-example,Przykład:</br>Wayne Manor 1</br>10292 Gotham City</br>do rąk Alfred Pennyworth,pl_PL
page.checkout.address.next-step,Przejdź do metody dostawy,pl_PL
page.checkout.address.edit,edytuj dane adresowe,pl_PL
page.checkout.address.use_selected_address,Użyj wybranego adresu,pl_PL
page.checkout.address.different_delivery_address,Użyj innego adresu dostawy,pl_PL
page.checkout.address.different_billing_address,Użyj innego adresu rozliczeniowego,pl_PL
page.checkout.address.option_group.customer,Adresy klienta,pl_PL
page.checkout.address.option_group.company_business_unit,Adresy firmowe,pl_PL
