navigation_key,node_key,parent_node_key,node_type,title.en_US,url.en_US,css_class.en_US,title.pl_PL,url.pl_PL,css_class.pl_PL,title.uk_UA,url.uk_UA,css_class.uk_UA,valid_from,valid_to
MAIN_NAVIGATION,plm-nav-mech,,category,Mechanical components,/en/mechanical-components,,Komponenty mechaniczne,/pl/komponenty-mechaniczne,,Механічні компоненти,/uk/механічні-компоненти,,,
MAIN_NAVIGATION,plm-nav-bearings,plm-nav-mech,category,Bearings & transmission,/en/mechanical-components/bearings-&-transmission,,Łożyska i napędy,/pl/komponenty-mechaniczne/łożyska-i-napędy,,Підшипники та приводи,/uk/механічні-компоненти/підшипники-та-приводи,,,
MAIN_NAVIGATION,plm-nav-fasteners,plm-nav-mech,category,Fasteners,/en/mechanical-components/fasteners,,Elementy złączne,/pl/komponenty-mechaniczne/elementy-złączne,,Кріпильні елементи,/uk/механічні-компоненти/кріпильні-елементи,,,
MAIN_NAVIGATION,plm-nav-seals,plm-nav-mech,category,Seals & fluid power,/en/mechanical-components/seals-&-fluid-power,,Uszczelnienia i hydraulika siłowa,/pl/komponenty-mechaniczne/uszczelnienia-i-hydraulika-siłowa,,Ущільнення та гідравліка,/uk/механічні-компоненти/ущільнення-та-гідравліка,,,
MAIN_NAVIGATION,plm-nav-consum,,category,Consumables & tools,/en/consumables-&-tools,,Materiały eksploatacyjne i narzędzia,/pl/materiały-eksploatacyjne-i-narzędzia,,Розхідні матеріали та інструменти,/uk/розхідні-матеріали-та-інструменти,,,
MAIN_NAVIGATION,plm-nav-lubricants,plm-nav-consum,category,Lubricants & chemicals,/en/consumables-&-tools/lubricants-&-chemicals,,Smary i chemia,/pl/materiały-eksploatacyjne-i-narzędzia/smary-i-chemia,,Мастила та хімія,/uk/розхідні-матеріали-та-інструменти/мастила-та-хімія,,,
MAIN_NAVIGATION,plm-nav-tools,plm-nav-consum,category,Tools & abrasives,/en/consumables-&-tools/tools-&-abrasives,,Narzędzia i materiały ścierne,/pl/materiały-eksploatacyjne-i-narzędzia/narzędzia-i-materiały-ścierne,,Інструменти та абразиви,/uk/розхідні-матеріали-та-інструменти/інструменти-та-абразиви,,,
MAIN_NAVIGATION,plm-nav-workshop,plm-nav-consum,category,Workshop consumables,/en/consumables-&-tools/workshop-consumables,,Materiały warsztatowe,/pl/materiały-eksploatacyjne-i-narzędzia/materiały-warsztatowe,,Розхідні матеріали для майстерні,/uk/розхідні-матеріали-та-інструменти/розхідні-матеріали-для-майстерні,,,
MAIN_NAVIGATION,plm-nav-new,,link,New,/en/search?q=,,Nowości,/pl/search?q=,,Новинки,/uk/search?q=,,,
FOOTER_NAVIGATION,plm-nav-footer-sell,,link,Sell on Pellumbra,/en/merchant-registration-request,footer-navigation__item,Sprzedawaj na Pellumbra,/pl/merchant-registration-request,footer-navigation__item,Продавайте на Pellumbra,/uk/merchant-registration-request,footer-navigation__item,,
FOOTER_NAVIGATION_TOP_CATEGORIES,plm-nav-ftc-mech,,category,Mechanical components,/en/mechanical-components,,Komponenty mechaniczne,/pl/komponenty-mechaniczne,,Механічні компоненти,/uk/механічні-компоненти,,,
FOOTER_NAVIGATION_TOP_CATEGORIES,plm-nav-ftc-consum,,category,Consumables & tools,/en/consumables-&-tools,,Materiały eksploatacyjne i narzędzia,/pl/materiały-eksploatacyjne-i-narzędzia,,Розхідні матеріали та інструменти,/uk/розхідні-матеріали-та-інструменти,,,
FOOTER_NAVIGATION_TOP_CATEGORIES,plm-nav-ftc-bearings,,category,Bearings & transmission,/en/mechanical-components/bearings-&-transmission,,Łożyska i napędy,/pl/komponenty-mechaniczne/łożyska-i-napędy,,Підшипники та приводи,/uk/механічні-компоненти/підшипники-та-приводи,,,
FOOTER_NAVIGATION_TOP_CATEGORIES,plm-nav-ftc-lubricants,,category,Lubricants & chemicals,/en/consumables-&-tools/lubricants-&-chemicals,,Smary i chemia,/pl/materiały-eksploatacyjne-i-narzędzia/smary-i-chemia,,Мастила та хімія,/uk/розхідні-матеріали-та-інструменти/мастила-та-хімія,,,
FOOTER_NAVIGATION_POPULAR_BRANDS,plm-nav-brand-nordwerk,,link,Nordwerk,/en/search?q=Nordwerk,,Nordwerk,/pl/search?q=Nordwerk,,Nordwerk,/uk/search?q=Nordwerk,,,
FOOTER_NAVIGATION_POPULAR_BRANDS,plm-nav-brand-vistula,,link,Vistula Tools,/en/search?q=Vistula+Tools,,Vistula Tools,/pl/search?q=Vistula+Tools,,Vistula Tools,/uk/search?q=Vistula+Tools,,,
FOOTER_NAVIGATION_POPULAR_BRANDS,plm-nav-brand-karpat,,link,Karpat Industrial,/en/search?q=Karpat+Industrial,,Karpat Industrial,/pl/search?q=Karpat+Industrial,,Karpat Industrial,/uk/search?q=Karpat+Industrial,,,
FOOTER_NAVIGATION_POPULAR_BRANDS,plm-nav-brand-pellumbra,,link,Pellumbra Pro,/en/search?q=Pellumbra+Pro,,Pellumbra Pro,/pl/search?q=Pellumbra+Pro,,Pellumbra Pro,/uk/search?q=Pellumbra+Pro,,,
