block_key,store_name
cms-block-email--customer-registration--html,PL
cms-block-email--customer-registration--text,PL
cms-block-email--customer-registration_token--html,PL
cms-block-email--customer-registration_token--text,PL
cms-block-email--customer-restore-password--html,PL
cms-block-email--customer-restore-password--text,PL
cms-block-email--customer-restored-password-confirmation--html,PL
cms-block-email--customer-restored-password-confirmation--text,PL
cms-block-email--restore-password--html,PL
cms-block-email--restore-password--text,PL
cms-block-email--availability-notification-subscription--html,PL
cms-block-email--availability-notification-subscription--text,PL
cms-block-email--availability-notification-unsubscribed--html,PL
cms-block-email--availability-notification-unsubscribed--text,PL
cms-block-email--availability-notification--html,PL
cms-block-email--availability-notification--text,PL
cms-block-email--newsletter-subscribed--html,PL
cms-block-email--newsletter-subscribed--text,PL
cms-block-email--newsletter-unsubscribed--html,PL
cms-block-email--newsletter-unsubscribed--text,PL
cms-block-email--order-confirmation--html,PL
cms-block-email--order-confirmation--text,PL
cms-block-email--order-shipped--html,PL
cms-block-email--order-shipped--text,PL
cms-block-email--company-user-invitation--html,PL
cms-block-email--company-user-invitation--text,PL
cms-block-email--company-status--html,PL
cms-block-email--company-status--text,PL
cms-block-email--merchant_notification_of_merchant_relation_request_creation--html,PL
cms-block-email--merchant_notification_of_merchant_relation_request_creation--text,PL
cms-block-email--merchant_relation_request_status_change--html,PL
cms-block-email--merchant_relation_request_status_change--text,PL
cms-block-email--merchant_relationship_delete--html,PL
cms-block-email--merchant_relationship_delete--text,PL
cms-block-email--multi_factor_auth_email--html,PL
cms-block-email--multi_factor_auth_email--text,PL
cms-block-email--customer_email_change_verification--html,PL
cms-block-email--customer_email_change_verification--text,PL
cms-block-email--customer_email_change_notification--html,PL
cms-block-email--customer_email_change_notification--text,PL
cms-block-email--ssp-inquiry-approved--html,PL
cms-block-email--ssp-inquiry-approved--text,PL
cms-block-email--ssp-inquiry-rejected--html,PL
cms-block-email--ssp-inquiry-rejected--text,PL
cms-block-email--recurring-orders-notify-buyer-upcoming-order--html,PL
cms-block-email--recurring-orders-notify-buyer-upcoming-order--text,PL
cms-block-email--recurring-orders-notify-buyer-placement-failure--html,PL
cms-block-email--recurring-orders-notify-buyer-placement-failure--text,PL
cms-block-email--recurring-orders-notify-buyer-validation-failed--html,PL
cms-block-email--recurring-orders-notify-buyer-validation-failed--text,PL
