shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,PL,EUR,390,490
spryker_dummy_shipment-express,PL,EUR,490,590
spryker_drone_shipment-air_standard,PL,EUR,450,500
spryker_drone_shipment-air_sonic,PL,EUR,800,1000
spryker_drone_shipment-air_light,PL,EUR,1200,1500
spryker_dummy_shipment-standard,PL,PLN,1677,2107
spryker_dummy_shipment-express,PL,PLN,2107,2537
spryker_drone_shipment-air_standard,PL,PLN,1935,2150
spryker_drone_shipment-air_sonic,PL,PLN,3440,4300
spryker_drone_shipment-air_light,PL,PLN,5160,6450
