block_key,store_name
cms-block-email--customer-registration--html,UA
cms-block-email--customer-registration--text,UA
cms-block-email--customer-registration_token--html,UA
cms-block-email--customer-registration_token--text,UA
cms-block-email--customer-restore-password--html,UA
cms-block-email--customer-restore-password--text,UA
cms-block-email--customer-restored-password-confirmation--html,UA
cms-block-email--customer-restored-password-confirmation--text,UA
cms-block-email--restore-password--html,UA
cms-block-email--restore-password--text,UA
cms-block-email--availability-notification-subscription--html,UA
cms-block-email--availability-notification-subscription--text,UA
cms-block-email--availability-notification-unsubscribed--html,UA
cms-block-email--availability-notification-unsubscribed--text,UA
cms-block-email--availability-notification--html,UA
cms-block-email--availability-notification--text,UA
cms-block-email--newsletter-subscribed--html,UA
cms-block-email--newsletter-subscribed--text,UA
cms-block-email--newsletter-unsubscribed--html,UA
cms-block-email--newsletter-unsubscribed--text,UA
cms-block-email--order-confirmation--html,UA
cms-block-email--order-confirmation--text,UA
cms-block-email--order-shipped--html,UA
cms-block-email--order-shipped--text,UA
cms-block-email--company-user-invitation--html,UA
cms-block-email--company-user-invitation--text,UA
cms-block-email--company-status--html,UA
cms-block-email--company-status--text,UA
cms-block-email--merchant_notification_of_merchant_relation_request_creation--html,UA
cms-block-email--merchant_notification_of_merchant_relation_request_creation--text,UA
cms-block-email--merchant_relation_request_status_change--html,UA
cms-block-email--merchant_relation_request_status_change--text,UA
cms-block-email--merchant_relationship_delete--html,UA
cms-block-email--merchant_relationship_delete--text,UA
cms-block-email--multi_factor_auth_email--html,UA
cms-block-email--multi_factor_auth_email--text,UA
cms-block-email--customer_email_change_verification--html,UA
cms-block-email--customer_email_change_verification--text,UA
cms-block-email--customer_email_change_notification--html,UA
cms-block-email--customer_email_change_notification--text,UA
cms-block-email--ssp-inquiry-approved--html,UA
cms-block-email--ssp-inquiry-approved--text,UA
cms-block-email--ssp-inquiry-rejected--html,UA
cms-block-email--ssp-inquiry-rejected--text,UA
cms-block-email--recurring-orders-notify-buyer-upcoming-order--html,UA
cms-block-email--recurring-orders-notify-buyer-upcoming-order--text,UA
cms-block-email--recurring-orders-notify-buyer-placement-failure--html,UA
cms-block-email--recurring-orders-notify-buyer-placement-failure--text,UA
cms-block-email--recurring-orders-notify-buyer-validation-failed--html,UA
cms-block-email--recurring-orders-notify-buyer-validation-failed--text,UA
