shipment_method_key,store,currency,value_net,value_gross
spryker_dummy_shipment-standard,UA,EUR,390,490
spryker_dummy_shipment-express,UA,EUR,490,590
spryker_drone_shipment-air_standard,UA,EUR,450,500
spryker_drone_shipment-air_sonic,UA,EUR,800,1000
spryker_drone_shipment-air_light,UA,EUR,1200,1500
spryker_dummy_shipment-standard,UA,UAH,18720,23520
spryker_dummy_shipment-express,UA,UAH,23520,28320
spryker_drone_shipment-air_standard,UA,UAH,21600,24000
spryker_drone_shipment-air_sonic,UA,UAH,38400,48000
spryker_drone_shipment-air_light,UA,UAH,57600,72000
