product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices
offer2,ORIGINAL,AT,EUR,1090,1297,
offer2,DEFAULT,AT,EUR,890,1097,
offer2,ORIGINAL,AT,CHF,1242,1478,
offer2,DEFAULT,AT,CHF,1042,1278,
offer3,DEFAULT,AT,EUR,170,203,
offer3,DEFAULT,AT,CHF,194,230,
offer4,DEFAULT,AT,EUR,161,192,
offer4,DEFAULT,AT,CHF,184,218,
offer5,DEFAULT,AT,EUR,170,203,
offer5,DEFAULT,AT,CHF,194,230,
offer6,DEFAULT,AT,EUR,161,192,
offer6,DEFAULT,AT,CHF,184,218,
offer7,DEFAULT,AT,EUR,648,772,
offer7,DEFAULT,AT,CHF,738,879,
offer8,DEFAULT,AT,EUR,614,741,
offer8,DEFAULT,AT,CHF,700,833,
offer9,DEFAULT,AT,EUR,380,456,
offer9,DEFAULT,AT,CHF,428,513,
offer10,DEFAULT,AT,EUR,360,432,
offer10,DEFAULT,AT,CHF,405,486,
offer11,DEFAULT,AT,CHF,360,410,
offer11,DEFAULT,AT,EUR,327,372,
offer12,DEFAULT,AT,CHF,46910,55804,
offer12,DEFAULT,AT,EUR,41161,48963,
offer12,ORIGINAL,AT,CHF,52111,61994,
offer12,ORIGINAL,AT,EUR,45724,54393,
offer13,DEFAULT,AT,CHF,13247,15746,
offer13,DEFAULT,AT,EUR,11632,13824,
offer14,DEFAULT,AT,CHF,153109,182182,
offer14,DEFAULT,AT,EUR,134318,159821,
offer15,DEFAULT,AT,CHF,11407,13557,
offer15,DEFAULT,AT,EUR,10018,11904,
offer15,ORIGINAL,AT,CHF,12664,15052,
offer15,ORIGINAL,AT,EUR,11120,13216,
offer16,DEFAULT,AT,CHF,70063,83357,
offer16,DEFAULT,AT,EUR,61471,73132,
offer17,DEFAULT,AT,CHF,288329,343094,
offer17,DEFAULT,AT,EUR,252932,300972,
offer18,DEFAULT,AT,CHF,20110,23913,
offer18,DEFAULT,AT,EUR,17652,20988,
offer18,ORIGINAL,AT,CHF,22334,26559,
offer18,ORIGINAL,AT,EUR,19603,23309,
offer19,DEFAULT,AT,CHF,9130,10848,
offer19,DEFAULT,AT,EUR,8020,9527,
offer20,DEFAULT,AT,CHF,400,459,
offer20,DEFAULT,AT,EUR,363,415,
offer21,DEFAULT,AT,CHF,533,618,
offer21,DEFAULT,AT,EUR,480,554,
offer21,ORIGINAL,AT,CHF,582,676,
offer21,ORIGINAL,AT,EUR,523,605,
offer22,DEFAULT,AT,CHF,424,487,
offer22,DEFAULT,AT,EUR,384,439,
offer23,DEFAULT,AT,CHF,892,1043,
offer23,DEFAULT,AT,EUR,794,927,
offer24,DEFAULT,AT,CHF,722,840,
offer24,DEFAULT,AT,EUR,645,749,
offer25,DEFAULT,AT,CHF,325,370,
offer25,DEFAULT,AT,EUR,298,337,
offer26,DEFAULT,AT,CHF,2784,3295,
offer26,DEFAULT,AT,EUR,2454,2903,
offer26,ORIGINAL,AT,CHF,3082,3650,
offer26,ORIGINAL,AT,EUR,2717,3214,
offer27,DEFAULT,AT,CHF,3887,4608,
offer27,DEFAULT,AT,EUR,3421,4054,
offer28,DEFAULT,AT,CHF,1621,1911,
offer28,DEFAULT,AT,EUR,1434,1689,
offer29,DEFAULT,AT,CHF,2904,3437,
offer29,DEFAULT,AT,EUR,2559,3026,
offer30,DEFAULT,AT,CHF,1078,1264,
offer30,DEFAULT,AT,EUR,957,1121,
offer31,DEFAULT,AT,CHF,1048,1230,
offer31,DEFAULT,AT,EUR,931,1091,
offer32,DEFAULT,AT,CHF,258,289,
offer32,DEFAULT,AT,EUR,238,266,
offer33,DEFAULT,AT,CHF,762,889,
offer33,DEFAULT,AT,EUR,681,792,
