product_offer_reference,price_type,store,currency,value_net,value_gross,price_data.volume_prices
offer2,ORIGINAL,DE,EUR,1090,1297,
offer2,DEFAULT,DE,EUR,890,1097,
offer2,ORIGINAL,DE,CHF,1242,1478,
offer2,DEFAULT,DE,CHF,1042,1278,
offer3,DEFAULT,DE,EUR,170,203,
offer3,DEFAULT,DE,CHF,194,230,
offer4,DEFAULT,DE,EUR,161,192,
offer4,DEFAULT,DE,CHF,184,218,
offer5,DEFAULT,DE,EUR,170,203,
offer5,DEFAULT,DE,CHF,194,230,
offer6,DEFAULT,DE,EUR,161,192,
offer6,DEFAULT,DE,CHF,184,218,
offer7,DEFAULT,DE,EUR,648,772,
offer7,DEFAULT,DE,CHF,738,879,
offer8,DEFAULT,DE,EUR,614,741,
offer8,DEFAULT,DE,CHF,700,833,
offer9,DEFAULT,DE,EUR,380,456,
offer9,DEFAULT,DE,CHF,428,513,
offer10,DEFAULT,DE,EUR,400,480,"[{""quantity"":5,""net_price"":250,""gross_price"":320},{""quantity"":10,""net_price"":200,""gross_price"":260},{""quantity"":20,""net_price"":100,""gross_price"":140}]"
offer10,DEFAULT,DE,CHF,405,486,
offer11,DEFAULT,DE,CHF,265,315,
offer11,DEFAULT,DE,EUR,232,277,
offer12,DEFAULT,DE,CHF,46815,55709,
offer12,DEFAULT,DE,EUR,41066,48868,
offer12,ORIGINAL,DE,CHF,52016,61899,
offer12,ORIGINAL,DE,EUR,45629,54298,
offer13,DEFAULT,DE,CHF,13152,15651,
offer13,DEFAULT,DE,EUR,11537,13729,
offer14,DEFAULT,DE,CHF,153014,182087,
offer14,DEFAULT,DE,EUR,134223,159726,
offer15,DEFAULT,DE,CHF,11312,13462,
offer15,DEFAULT,DE,EUR,9923,11809,
offer15,ORIGINAL,DE,CHF,12569,14957,
offer15,ORIGINAL,DE,EUR,11025,13121,
offer16,DEFAULT,DE,CHF,69968,83262,
offer16,DEFAULT,DE,EUR,61376,73037,
offer17,DEFAULT,DE,CHF,288234,342999,
offer17,DEFAULT,DE,EUR,252837,300877,
offer18,DEFAULT,DE,CHF,20015,23818,
offer18,DEFAULT,DE,EUR,17557,20893,
offer18,ORIGINAL,DE,CHF,22239,26464,
offer18,ORIGINAL,DE,EUR,19508,23214,
offer19,DEFAULT,DE,CHF,9035,10753,
offer19,DEFAULT,DE,EUR,7925,9432,
offer20,DEFAULT,DE,CHF,305,364,
offer20,DEFAULT,DE,EUR,268,320,
offer21,DEFAULT,DE,CHF,438,523,
offer21,DEFAULT,DE,EUR,385,459,
offer21,ORIGINAL,DE,CHF,487,581,
offer21,ORIGINAL,DE,EUR,428,510,
offer22,DEFAULT,DE,CHF,329,392,
offer22,DEFAULT,DE,EUR,289,344,
offer23,DEFAULT,DE,CHF,797,948,
offer23,DEFAULT,DE,EUR,699,832,
offer24,DEFAULT,DE,CHF,627,745,
offer24,DEFAULT,DE,EUR,550,654,
offer25,DEFAULT,DE,CHF,230,275,
offer25,DEFAULT,DE,EUR,203,242,
offer26,DEFAULT,DE,CHF,2689,3200,
offer26,DEFAULT,DE,EUR,2359,2808,
offer26,ORIGINAL,DE,CHF,2987,3555,
offer26,ORIGINAL,DE,EUR,2622,3119,
offer27,DEFAULT,DE,CHF,3792,4513,
offer27,DEFAULT,DE,EUR,3326,3959,
offer28,DEFAULT,DE,CHF,1526,1816,
offer28,DEFAULT,DE,EUR,1339,1594,
offer29,DEFAULT,DE,CHF,2809,3342,
offer29,DEFAULT,DE,EUR,2464,2931,
offer30,DEFAULT,DE,CHF,983,1169,
offer30,DEFAULT,DE,EUR,862,1026,
offer31,DEFAULT,DE,CHF,953,1135,
offer31,DEFAULT,DE,EUR,836,996,
offer32,DEFAULT,DE,CHF,163,194,
offer32,DEFAULT,DE,EUR,143,171,
offer33,DEFAULT,DE,CHF,667,794,
offer33,DEFAULT,DE,EUR,586,697,
offer34,DEFAULT,DE,CHF,523,623,
offer34,DEFAULT,DE,EUR,459,547,
offer35,DEFAULT,DE,CHF,80,96,
offer35,DEFAULT,DE,EUR,71,85,
offer36,DEFAULT,DE,CHF,4993,5942,
offer36,DEFAULT,DE,EUR,4380,5212,
offer37,DEFAULT,DE,CHF,58,71,
offer37,DEFAULT,DE,EUR,52,62,
offer38,DEFAULT,DE,CHF,130,155,
offer38,DEFAULT,DE,EUR,114,136,
offer39,DEFAULT,DE,CHF,151,180,
offer39,DEFAULT,DE,EUR,133,158,
offer40,DEFAULT,DE,CHF,142,169,
offer40,DEFAULT,DE,EUR,125,149,
offer41,DEFAULT,DE,CHF,142,169,
offer41,DEFAULT,DE,EUR,125,149,
offer42,DEFAULT,DE,CHF,161,193,
offer42,DEFAULT,DE,EUR,142,170,
offer43,DEFAULT,DE,CHF,295,352,
offer43,DEFAULT,DE,EUR,259,309,
offer44,DEFAULT,DE,CHF,748,892,
offer44,DEFAULT,DE,EUR,657,782,
offer45,DEFAULT,DE,CHF,358,426,
offer45,DEFAULT,DE,EUR,314,374,
offer46,DEFAULT,DE,CHF,213,255,
offer46,DEFAULT,DE,EUR,188,224,
offer47,DEFAULT,DE,CHF,295,352,
offer47,DEFAULT,DE,EUR,259,309,
offer48,DEFAULT,DE,CHF,295,352,
offer48,DEFAULT,DE,EUR,259,309,
offer49,DEFAULT,DE,CHF,305,364,
offer49,DEFAULT,DE,EUR,268,320,
offer50,DEFAULT,DE,CHF,90,107,
offer50,DEFAULT,DE,EUR,79,95,
offer51,DEFAULT,DE,CHF,1396,1661,
offer51,DEFAULT,DE,EUR,1225,1458,
offer52,DEFAULT,DE,CHF,1931,2299,
offer52,DEFAULT,DE,EUR,1694,2016,
offer53,DEFAULT,DE,CHF,4959,5903,
offer53,DEFAULT,DE,EUR,4351,5178,
offer54,DEFAULT,DE,CHF,872,1038,
offer54,DEFAULT,DE,EUR,765,911,
offer55,DEFAULT,DE,CHF,491,584,
offer55,DEFAULT,DE,EUR,431,513,
offer56,DEFAULT,DE,CHF,738,878,
offer56,DEFAULT,DE,EUR,647,771,
offer57,DEFAULT,DE,CHF,1489,1772,
offer57,DEFAULT,DE,EUR,1307,1555,
offer58,DEFAULT,DE,CHF,1818,2163,
offer58,DEFAULT,DE,EUR,1595,1898,
offer59,DEFAULT,DE,CHF,2446,2910,
offer59,DEFAULT,DE,EUR,2146,2553,
offer60,DEFAULT,DE,CHF,2548,3033,
offer60,DEFAULT,DE,EUR,2236,2660,
offer61,DEFAULT,DE,CHF,3002,3572,
offer61,DEFAULT,DE,EUR,2633,3134,
offer62,DEFAULT,DE,CHF,1952,2323,
offer62,DEFAULT,DE,EUR,1712,2038,
offer63,DEFAULT,DE,CHF,2774,3302,
offer63,DEFAULT,DE,EUR,2434,2897,
offer64,DEFAULT,DE,CHF,35758,42552,
offer64,DEFAULT,DE,EUR,31367,37327,
offer64,ORIGINAL,DE,CHF,39730,47279,
offer64,ORIGINAL,DE,EUR,34851,41474,
offer65,DEFAULT,DE,CHF,14054,16725,
offer65,DEFAULT,DE,EUR,12329,14671,
offer65,ORIGINAL,DE,CHF,15615,18583,
offer65,ORIGINAL,DE,EUR,13699,16302,
offer66,DEFAULT,DE,CHF,6682,7953,
offer66,DEFAULT,DE,EUR,5862,6976,
offer67,DEFAULT,DE,CHF,12238,14563,
offer67,DEFAULT,DE,EUR,10735,12775,
offer68,DEFAULT,DE,CHF,17380,20683,
offer68,DEFAULT,DE,EUR,15246,18144,
offer68,ORIGINAL,DE,CHF,19310,22981,
offer68,ORIGINAL,DE,EUR,16940,20159,
offer69,DEFAULT,DE,CHF,3818,4543,
offer69,DEFAULT,DE,EUR,3349,3986,
offer69,ORIGINAL,DE,CHF,4241,5048,
offer69,ORIGINAL,DE,EUR,3721,4428,
offer70,DEFAULT,DE,CHF,744,886,
offer70,DEFAULT,DE,EUR,653,778,
offer71,DEFAULT,DE,CHF,841,1001,
offer71,DEFAULT,DE,EUR,739,878,
offer72,DEFAULT,DE,CHF,10780,12828,
offer72,DEFAULT,DE,EUR,9457,11253,
offer73,DEFAULT,DE,CHF,1204,1433,
offer73,DEFAULT,DE,EUR,1057,1257,
offer74,DEFAULT,DE,CHF,2225,2649,
offer74,DEFAULT,DE,EUR,1953,2324,
offer75,DEFAULT,DE,CHF,704,838,
offer75,DEFAULT,DE,EUR,618,736,
offer76,DEFAULT,DE,CHF,7945,9455,
offer76,DEFAULT,DE,EUR,6970,8294,
offer77,DEFAULT,DE,CHF,1747,2078,
offer77,DEFAULT,DE,EUR,1533,1824,
offer78,DEFAULT,DE,CHF,17674,21034,
offer78,DEFAULT,DE,EUR,15504,18451,
offer79,DEFAULT,DE,CHF,31209,37139,
offer79,DEFAULT,DE,EUR,27377,32578,
offer80,DEFAULT,DE,CHF,7552,8987,
offer80,DEFAULT,DE,EUR,6625,7884,
offer81,DEFAULT,DE,CHF,18098,21538,
offer81,DEFAULT,DE,EUR,15876,18893,
offer82,DEFAULT,DE,CHF,402,477,
offer82,DEFAULT,DE,EUR,353,419,
offer83,DEFAULT,DE,CHF,931,1108,
offer83,DEFAULT,DE,EUR,817,972,
offer84,DEFAULT,DE,CHF,913,1086,
offer84,DEFAULT,DE,EUR,801,953,
offer85,DEFAULT,DE,CHF,528,627,
offer85,DEFAULT,DE,EUR,463,551,
offer86,DEFAULT,DE,CHF,590,702,
offer86,DEFAULT,DE,EUR,518,616,
offer87,DEFAULT,DE,CHF,1308,1556,
offer87,DEFAULT,DE,EUR,1147,1365,
offer88,DEFAULT,DE,CHF,1308,1556,
offer88,DEFAULT,DE,EUR,1147,1365,
offer89,DEFAULT,DE,CHF,667,794,
offer89,DEFAULT,DE,EUR,586,697,
offer90,DEFAULT,DE,CHF,305,364,
offer90,DEFAULT,DE,EUR,268,320,
offer91,DEFAULT,DE,CHF,399,475,
offer91,DEFAULT,DE,EUR,350,418,
offer92,DEFAULT,DE,CHF,635,756,
offer92,DEFAULT,DE,EUR,557,664,
offer93,DEFAULT,DE,CHF,2665,3173,
offer93,DEFAULT,DE,EUR,2338,2783,
offer94,DEFAULT,DE,CHF,1468,1748,
offer94,DEFAULT,DE,EUR,1289,1534,
offer95,DEFAULT,DE,CHF,49896,59376,
offer95,DEFAULT,DE,EUR,43769,52085,
offer96,DEFAULT,DE,CHF,181849,216401,
offer96,DEFAULT,DE,EUR,159517,189826,
offer97,DEFAULT,DE,CHF,12450,14817,
offer97,DEFAULT,DE,EUR,10922,12997,
offer97,ORIGINAL,DE,CHF,13833,16463,
offer97,ORIGINAL,DE,EUR,12135,14441,
offer98,DEFAULT,DE,CHF,7610,9057,
offer98,DEFAULT,DE,EUR,6676,7945,
offer98,ORIGINAL,DE,CHF,8455,10063,
offer98,ORIGINAL,DE,EUR,7417,8828,
offer99,DEFAULT,DE,CHF,2109,2510,
offer99,DEFAULT,DE,EUR,1850,2203,
offer100,DEFAULT,DE,CHF,902,1073,
offer100,DEFAULT,DE,EUR,792,942,
offer101,DEFAULT,DE,CHF,528,627,
offer101,DEFAULT,DE,EUR,463,551,
offer102,DEFAULT,DE,CHF,383,456,
offer102,DEFAULT,DE,EUR,337,400,
offer103,DEFAULT,DE,CHF,859,1023,
offer103,DEFAULT,DE,EUR,754,897,
offer104,DEFAULT,DE,CHF,383,456,
offer104,DEFAULT,DE,EUR,337,400,
offer105,DEFAULT,DE,CHF,948,1129,
offer105,DEFAULT,DE,EUR,832,990,
offer106,DEFAULT,DE,CHF,948,1129,
offer106,DEFAULT,DE,EUR,832,990,
offer107,DEFAULT,DE,CHF,1075,1279,
